sentence,logit,prediction,sentiment_score
Royal Mail chairman Donald Brydon set to step down,[0.42834616 0.29181322 0.27984062],positive,0.13653293
Stakes High for AstraZeneca Heart Drug Facing Tough Competition,[0.43455365 0.29511982 0.2703265 ],positive,0.13943383
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,[0.4256582 0.2951889 0.2791529],positive,0.13046929
Insight hires Aviva's David Hillier for multi-asset team,[0.42266777 0.28607473 0.2912574 ],positive,0.13659304
Primark racks up a happy Christmas after strong sales,[0.43121472 0.28952533 0.27925998],positive,0.14168939
UPDATE 1-Pearson expects to grow this year after solid end to 2014,[0.41515857 0.26059464 0.32424673],positive,0.15456393
Tesco sells Blinkbox and broadband service to TalkTalk,[0.42161292 0.2830679  0.29531914],positive,0.138545
Unilever profit rises despite sales slump in China,[0.4240417  0.30147558 0.27448276],positive,0.122566104
Tesco leads leap in FTSE 100; Marks & Spencer drops,[0.44052798 0.28628546 0.2731865 ],positive,0.15424252
Royal Dutch Shell profit rises; dividend up 4%,[0.43539414 0.28851372 0.2760921 ],positive,0.14688042
Morning Agenda: Shire's Deal for NPS,[0.4337622  0.29273394 0.2735039 ],positive,0.14102826
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,[0.41645887 0.2850743  0.29846686],positive,0.13138458
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,[0.41344517 0.29519275 0.29136208],positive,0.11825243
Passengers rise at EasyJet and Aer Lingus,[0.4244262  0.29566732 0.27990648],positive,0.12875888
Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,[0.42435664 0.29158542 0.28405792],positive,0.13277122
"FDA approves NPS drug, in move validating Shire takeover deal",[0.4291506  0.28591326 0.28493616],positive,0.14323735
Ocwen Reaches Settlement With California Regulator,[0.42632037 0.29412368 0.27955595],positive,0.1321967
Morrisons faces festive sales test,[0.43519694 0.28760576 0.27719736],positive,0.14759117
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,[0.43991628 0.27632558 0.28375816],positive,0.1635907
Shire to buy NPS for $5.2 billion to boost rare disease drugs,[0.42736644 0.28649944 0.28613412],positive,0.140867
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,[0.4302567 0.2776193 0.292124 ],positive,0.15263739
FDA approves Shire's Vyvanse for binge-eating disorder,[0.42007887 0.29309934 0.28682175],positive,0.12697953
Companies Thetrainline.com announces arrival of London IPO,[0.4317993  0.2770213  0.29117948],positive,0.154778
Breakingviews: IAG can pay more for Aer Lingus,[0.43067786 0.280592   0.2887302 ],positive,0.15008587
Tesco share price jumps as Q3 sales top estimates,[0.4290526  0.29713646 0.273811  ],positive,0.13191614
CRH's concrete bid for Holcim Lafarge assets,[0.43856803 0.27930218 0.2821298 ],positive,0.15926585
Persimmon share price climbs on 23% rise in full-year revenue,[0.42364442 0.2964787  0.2798769 ],positive,0.12716573
Ruling sets lower limit on potential fine for BP,[0.42858708 0.288901   0.28251192],positive,0.13968608
Reed Elsevier share price slides on underwhelming full-year results,[0.44015816 0.2893789  0.2704629 ],positive,0.15077925
UPDATE 1-Meggitt reiterates annual outlook after tough 2014,[0.43265444 0.2904001  0.2769455 ],positive,0.14225435
Slump in Weir leads FTSE down from record high,[0.42814136 0.29767588 0.27418283],positive,0.13046548
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,[0.42762113 0.27921075 0.29316813],positive,0.14841038
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,[0.43478376 0.2839001  0.28131604],positive,0.15088364
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,[0.42786378 0.2913997  0.28073657],positive,0.13646409
Meggitt share price tumbles as profit falls in 'challenging year',[0.43215722 0.29219127 0.27565148],positive,0.13996595
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,[0.43778813 0.28622523 0.27598664],positive,0.1515629
ARM Royalties Accelerate as Smartphone Market Regains Strength,[0.42579684 0.29342353 0.28077972],positive,0.1323733
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,[0.42652622 0.28968036 0.28379345],positive,0.13684586
BG Group appoints new CEO one month early,[0.4278074  0.29422086 0.2779717 ],positive,0.13358653
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",[0.43405932 0.29375508 0.2721856 ],positive,0.14030424
U.S. Debt Lures Schroders as ECB Depresses Rates,[0.42682984 0.29099917 0.28217092],positive,0.13583067
Tullow Oil Suspends Dividend Amid Oil Price Fall,[0.4322772  0.29371044 0.27401233],positive,0.13856676
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",[0.42066538 0.2825332  0.29680145],positive,0.13813218
Standard Chartered lags on capital worries,[0.4334634  0.29518726 0.27134934],positive,0.13827613
Standard Life share price: Insurer buys advice firm Pearson Jones,[0.43364394 0.2832029  0.28315315],positive,0.15044105
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,[0.42894718 0.28436518 0.28668755],positive,0.144582
MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,[0.4262437  0.29229525 0.28146106],positive,0.13394845
RBS will reportedly appoint Howard Davies as its next chairman,[0.42505357 0.26700255 0.30794388],positive,0.15805101
HSBC Hit by Fresh Details of Tax Evasion Claims,[0.43530446 0.28749168 0.27720392],positive,0.14781278
Relief for Lewis as Tesco sees sales grow for first time in a year,[0.4295993  0.29178688 0.27861384],positive,0.1378124
Morrisons finance chief to fill gap as CEO leaves early,[0.43417907 0.28940442 0.27641654],positive,0.14477465
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",[0.42940697 0.2895815  0.28101152],positive,0.13982546
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,[0.42571986 0.2836047  0.29067543],positive,0.14211515
