sentence,logit,prediction,sentiment_score
"Altcoins and stocks move higher after Bitcoin price rally to $40,000",[0.26564625 0.4525421  0.28181162],negative,-0.18689585
XRP price soars 55% to 'crucial' level as Bitcoin notches new high at $38.5K,[0.2675459  0.44634998 0.28610405],negative,-0.17880407
Blockchain.com follows other exchanges in delisting XRP,[0.2686512  0.44813737 0.28321147],negative,-0.17948619
Ripple co-founder Jed McCaleb sold $400 million worth of XRP in 2020,[0.2708546  0.46464336 0.264502  ],negative,-0.19378877
XRP whales are sinking fast,[0.26552406 0.46909288 0.26538306],negative,-0.20356882
Grayscale dumps XRP: Here's where it's putting the cash,[0.26874974 0.4715406  0.25970966],negative,-0.20279086
XLM price gains 30% in a day as positive sentiment shifts from XRP to Stellar,[0.27494952 0.45849028 0.26656023],negative,-0.18354076
XRP enthusiasts seek to force White House’s hand on SEC suit,[0.27185726 0.4712259  0.25691682],negative,-0.19936863
US exchanges are suspending or delisting XRP left and right,[0.2695623  0.46246263 0.267975  ],negative,-0.19290033
Top 10 crypto and blockchain stories of 2020,[0.2607992  0.45354015 0.28566056],negative,-0.19274095
"Bitcoin, stablecoins and DeFi: 2020’s top-performing crypto assets",[0.26783046 0.465577   0.26659253],negative,-0.19774655
SEC lawsuit against Ripple set for virtual pretrial conference in February,[0.2704293  0.4678346  0.26173615],negative,-0.19740528
Ripple vows to respond to SEC ‘attack’ amid exchange delistings of XRP,[0.27257374 0.46678218 0.2606441 ],negative,-0.19420844
How low can XRP go? Watch these price levels next,[0.2736303  0.44950387 0.27686584],negative,-0.17587358
Bitcoin price rally cools down as Polkadot gains 34% in first week of ‘altseason’,[0.27438048 0.45973065 0.2658889 ],negative,-0.18535018
XRP price faces a rocky road to recovery ahead of SEC’s Ripple lawsuit,[0.27356273 0.46855268 0.25788462],negative,-0.19498995
SEC vs. Ripple: A predictable but undesirable development,[0.26732525 0.46581918 0.26685554],negative,-0.19849393
"2021 price outlook: BTC, ETH, XRP, LTC, BCH, LINK, ADA, BNB, DOT, XLM",[0.26814345 0.4539296  0.27792698],negative,-0.18578616
XRP price just surged 40% in a surprise relief rally — Here’s why,[0.26940084 0.4706024  0.2599967 ],negative,-0.20120156
3 reasons why XRP price can continue to fall after a 63% crash in four days,[0.2663723  0.47416937 0.25945827],negative,-0.20779708
"MoneyGram distances itself from Ripple, says it doesn't utilize RippleNet",[0.26369265 0.45067197 0.28563532],negative,-0.18697932
Bitwise dumps XRP investment amid SEC lawsuit against Ripple,[0.26177126 0.46572283 0.27250594],negative,-0.20395157
XRP price falls 24% in 24 hours as exchanges begin delisting,[0.2687414  0.46347213 0.2677864 ],negative,-0.19473073
Ripple CEO Garlinghouse responds to SEC complaint against XRP,[0.2682312 0.4597065 0.2720623],negative,-0.19147527
Don't expect Coin Center to stick up for XRP in the face of the SEC,[0.27269995 0.46822476 0.2590753 ],negative,-0.19552481
XRP‌ ‌price plunges‌ ‌21%‌ ‌in‌ ‌two days as SEC targets Ripple — What’s‌ ‌next?‌ ‌,[0.25805897 0.46176645 0.28017464],negative,-0.20370749
SEC set to sue Ripple with XRP in the crosshairs,[0.26973355 0.47007105 0.26019534],negative,-0.2003375
XRP price still stagnant despite incoming Flare Network airdrop,[0.27533075 0.45768994 0.26697934],negative,-0.18235919
XRP price drops 13% since Flare Network airdrop — But the bottom may be close,[0.26975787 0.46905276 0.26118937],negative,-0.1992949
XRP price action imminent? A closer look at the market’s #3 crypto,[0.2690435  0.45654163 0.27441484],negative,-0.18749812
"Why XRP, DeFi tokens crashed the most vs. BTC as Bitcoin price corrects",[0.26722372 0.46158564 0.2711906 ],negative,-0.19436193
XRP price: Will the Flare Network airdrop trigger a rally to $1.00?,[0.27014518 0.46024442 0.26961035],negative,-0.19009924
Ripple has sold $15M of its stock in MoneyGram,[0.2705306  0.46731    0.26215944],negative,-0.1967794
Ripple CTO says community could force the company to burn 48 billion XRP,[0.26994073 0.4724782  0.25758106],negative,-0.20253748
"95% of Ripple’s customers are not from the US, CEO Garlinghouse says",[0.28009003 0.45202142 0.26788846],negative,-0.17193139
"Ripple’s XRP sees explosive 1,151% trading volume spike in November",[0.26873606 0.4648613  0.26640266],negative,-0.19612524
"XRP price now eyeing $1.00 after key support level holds, BTC price soars",[0.26938692 0.46101674 0.26959634],negative,-0.19162983
Garlinghouse: Ripple would still thrive even if XRP were declared a security,[0.27868637 0.45083308 0.2704806 ],negative,-0.17214671
"Price analysis 11/25: BTC, ETH, XRP, BCH, LINK, LTC, ADA, DOT, BNB, XLM",[0.2688894  0.44615975 0.28495082],negative,-0.17727035
"Bitcoin price, altcoins and the Dow set record highs as bulls run the market",[0.26625425 0.47411388 0.25963187],negative,-0.20785964
These 5 altcoins are beating every major cryptocurrency this week,[0.27158403 0.4678007  0.26061523],negative,-0.19621667
Bitcoin price now eyeing $20K after XRP shocked the crypto market,[0.2700614  0.46559358 0.26434502],negative,-0.19553217
"XRP price spikes to $0.90, crashes in seconds as Coinbase goes down",[0.26368728 0.45718017 0.27913252],negative,-0.19349289
XRP price rallies 91% in a month due to 3 fundamental factors,[0.2729688  0.4640869  0.26294434],negative,-0.19111809
XRP shot up 20% today… on old news?,[0.2650067  0.46453375 0.27045953],negative,-0.19952706
Ripple seeks director to engage with central banks on digital currency,[0.27441776 0.46547768 0.26010454],negative,-0.19105992
XRP price soars 50% in one week to new yearly high — Watch these levels next,[0.27279204 0.4626967  0.26451135],negative,-0.18990466
Ripple’s Brad Garlinghouse wants Bitcoin to succeed after all,[0.27050057 0.46533227 0.2641672 ],negative,-0.1948317
Ripple files for yet another new trademark in the US,[0.27301186 0.4641023  0.26288587],negative,-0.19109043
The Bitcoin price has only been higher than now for 12 days in its history,[0.2715681  0.46924672 0.25918517],negative,-0.19767863
"SEC should declare XRP a security, says Peter Brandt",[0.27695674 0.4502158  0.27282754],negative,-0.17325905
Ledger owners lose 1.1 million XRP to scam site,[0.25944626 0.4574607  0.28309304],negative,-0.19801444
"Price analysis 11/2: BTC, ETH, XRP, BCH, LINK, BNB, LTC, DOT, BSV, ADA",[0.26544216 0.44437447 0.29018337],negative,-0.17893231
Ripple CTO tries to offer answers for lack of adoption,[0.2690672  0.4739682  0.25696453],negative,-0.20490101
Bitcoin breaks above $12.3K after PayPal says Venmo will become a BTC wallet,[0.2639108  0.4397528  0.29633644],negative,-0.17584199
Ripple donates $10M to Mercy Corps during annual Swell conference,[0.27228436 0.45365486 0.27406073],negative,-0.1813705
"Price analysis 10/14: BTC, ETH, XRP, BCH, BNB, LINK, DOT, ADA, LTC, BSV",[0.26807237 0.44821054 0.28371716],negative,-0.18013817
"Regrets — Ripple’s CTO sold 40,000 Ether for just $1 each",[0.2675743  0.47629762 0.2561281 ],negative,-0.2087233
"Price analysis 10/12: BTC, ETH, XRP, BCH, BNB, LINK, DOT, ADA, LTC, CRO",[0.26871344 0.44792956 0.2833569 ],negative,-0.17921612
"Top 5 cryptocurrencies to watch this week: BTC, XRP, ADA, XMR, ATOM",[0.2708925  0.45233887 0.27676862],negative,-0.18144637
"Price analysis 10/9: BTC, ETH, XRP, BCH, BNB, DOT, LINK, CRO, LTC, BSV",[0.2657429  0.45115727 0.28309983],negative,-0.18541437
Community reacts to new DoJ crypto enforcement guidelines,[0.27254975 0.45166633 0.27578393],negative,-0.17911658
"Price analysis 10/7: BTC, ETH, XRP, BCH, BNB, DOT, LINK, LTC, CRO, BSV",[0.2654181  0.44944516 0.28513676],negative,-0.18402705
US is losing 'tech cold war with China' says Ripple co-founder,[0.27101535 0.46235567 0.26662898],negative,-0.19134033
"Price analysis 10/5: BTC, ETH, XRP, BNB, BCH, DOT, LINK, CRO, LTC, ADA",[0.26672864 0.44498226 0.2882891 ],negative,-0.17825362
"XRP Ledger blockchain energizes decarbonization, but tokenization a challenge",[0.26941374 0.443829   0.2867573 ],negative,-0.17441526
"Price analysis 10/2: BTC, ETH, XRP, BCH, BNB, DOT, LINK, CRO, BSV, LTC",[0.26210093 0.44466496 0.29323417],negative,-0.18256402
Japanese esports company to pay its players in XRP,[0.26312166 0.47095245 0.2659259 ],negative,-0.20783079
"Price analysis 9/30: BTC, ETH, XRP, BCH, BNB, DOT, LINK, BSV, CRO, ADA",[0.26503065 0.44479227 0.2901771 ],negative,-0.17976162
"Price analysis 9/28: BTC, ETH, XRP, BCH, BNB, DOT, LINK, ADA, BSV, CRO",[0.26642087 0.44222674 0.29135236],negative,-0.17580587
"Price analysis 9/25: BTC, ETH, XRP, BCH, DOT, LINK, BNB, CRO, LTC, BSV",[0.26622486 0.44664294 0.2871322 ],negative,-0.18041807
Bitcoin bull Tim Draper reveals the secrets of his altcoin portfolio,[0.2671878  0.46720526 0.2656069 ],negative,-0.20001745
"Price analysis 9/23: BTC, ETH, XRP, BCH, DOT, BNB, CRO, LTC, LINK, BSV",[0.263444   0.44547558 0.29108036],negative,-0.18203157
"Price analysis 9/21: BTC, ETH, XRP, BCH, DOT, BNB, LINK, CRO, LTC, BSV",[0.26574257 0.4459623  0.28829515],negative,-0.18021974
"Price analysis 9/18: BTC, ETH, XRP, DOT, BCH, BNB, LINK, CRO, LTC, BSV",[0.2652563  0.4456419  0.28910175],negative,-0.18038562
"Price analysis 9/16: BTC, ETH, XRP, DOT, BCH, BNB, LINK, CRO, LTC, BSV",[0.26546505 0.44673756 0.28779742],negative,-0.1812725
"Price analysis 9/14: BTC, ETH, XRP, BNB, DOT, LINK, BCH, CRO, LTC, BSV",[0.2654935  0.44531316 0.28919333],negative,-0.17981964
"Price analysis 9/11: BTC, ETH, XRP, LINK, BCH, DOT, BNB, LTC, CRO, BSV",[0.26406014 0.44805503 0.2878848 ],negative,-0.18399489
"Price analysis 9/9: BTC, ETH, XRP, LINK, BCH, DOT, BNB, BSV, LTC, CRO",[0.26279923 0.44818774 0.289013  ],negative,-0.1853885
DeFi boom leaves former altcoin darlings in the dust — But for how long?,[0.26338044 0.45825705 0.27836254],negative,-0.19487661
"Price analysis 9/7: BTC, ETH, XRP, LINK, BCH, DOT, BSV, BNB, LTC, CRO",[0.25621295 0.44615105 0.297636  ],negative,-0.1899381
"Price analysis 9/4: BTC, ETH, XRP, LINK, BCH, DOT, LTC, CRO, BNB, BSV",[0.26549035 0.44527516 0.28923446],negative,-0.1797848
SBI Holdings to set up blockchain-based digital stock exchange in Osaka,[0.27000973 0.4682049  0.26178536],negative,-0.19819516
"Price analysis 9/2: BTC, ETH, XRP, LINK, BCH, LTC, BNB, CRO, BSV, ADA",[0.26082736 0.44296616 0.29620656],negative,-0.1821388
Tether surpasses XRP by market cap again,[0.27505904 0.45815995 0.26678106],negative,-0.18310091
"Price analysis 8/31: BTC, ETH, XRP, LINK, BCH, LTC, BSV, CRO, BNB, EOS",[0.26388162 0.43993548 0.29618287],negative,-0.17605385
"Price analysis 8/28: BTC, ETH, XRP, LINK, BCH, LTC, BSV, CRO, BNB, EOS",[0.26072976 0.4403279  0.29894233],negative,-0.17959815
"Japanese financial giant SBI to launch CFDs for Bitcoin, Ether and XRP",[0.26326266 0.44838578 0.28835154],negative,-0.18512312
Flare proposes new bridge to allow XRP to be used on Ethereum,[0.27368084 0.45444807 0.2718711 ],negative,-0.18076724
"Price analysis 8/26: BTC, ETH, XRP, LINK, BCH, LTC, BSV, CRO, BNB, ADA",[0.26376605 0.44358996 0.29264393],negative,-0.1798239
Ripple filed four US trademark applications this month,[0.2719659  0.46616793 0.26186618],negative,-0.19420204
Ripple faces lawsuit in Australia over ‘PayID’ branding,[0.27173507 0.47283706 0.25542787],negative,-0.20110199
"Price analysis 8/24: BTC, ETH, XRP, BCH, LINK, LTC, BSV, CRO, BNB, ADA",[0.2650832  0.44271284 0.29220402],negative,-0.17762965
Youtuber Explains How Crypto Scammers Took Control of His Account,[0.26975772 0.45594424 0.27429798],negative,-0.18618652
"Price Analysis 8/21: BTC, ETH, XRP, BCH, LINK, LTC, BSV, ADA, BNB, CRO",[0.24474768 0.4507743  0.30447802],negative,-0.20602663
"XRP Is Not a Security, Argues US Congressman Tom Emmer",[0.26873523 0.44566646 0.2855983 ],negative,-0.17693123
"Price Analysis 8/19: BTC, ETH, XRP, LINK, BCH, LTC, BSV, ADA, BNB, EOS",[0.2531144  0.44746616 0.2994194 ],negative,-0.19435176
