sentence,logit,prediction,sentiment_score
Kingfisher set to open another 200 Screwfix stores,[0.07705942 0.01097205 0.9119686 ],neutral,0.066087365
Diageo sales disappoint as currency and comparatives leave bitter taste,[0.01563953 0.9619982  0.02236236],negative,-0.9463587
Smith & Nephew recalls hip-replacement components,[0.04027035 0.3885237  0.571206  ],neutral,-0.34825334
Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers,[0.02054763 0.92537373 0.05407869],negative,-0.9048261
"UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs",[0.0132326  0.9726566  0.01411068],negative,-0.959424
Britain's FTSE lifted by solid Kingfisher,[0.46239707 0.16236119 0.3752418 ],positive,0.3000359
"Barclays, Credit Suisse strike record deals with SEC, NY over dark pools",[0.39712745 0.1816807  0.4211919 ],neutral,0.21544676
"BHP Billiton posts big loss, slashes dividend",[0.0160034  0.96566695 0.01832961],negative,-0.9496635
Reaching New Depths: Glencore's $5bn Loss,[0.20057629 0.06470752 0.7347162 ],neutral,0.13586877
UPDATE 2-EasyJet sees better first half on lower fuel bill,[0.7432489  0.23403132 0.02271984],positive,0.50921756
News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,[0.05806204 0.74949884 0.1924391 ],negative,-0.6914368
Landlord Hammerson's NAV rises on increased leasing activity,[0.876372   0.07968534 0.04394269],positive,0.79668665
WPP Q1 Revenue Rises Over 8% - Quick Facts,[0.94502044 0.02317324 0.03180625],positive,0.9218472
RBS and Barclays shares temporarily suspended amid heavily losses,[0.02212716 0.8790501  0.09882274],negative,-0.8569229
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,[0.01010713 0.9746139  0.01527905],negative,-0.96450675
World's banks may halve jobs and branches within 10 years - Barclays ex-boss,[0.02242975 0.931222   0.0463483 ],negative,-0.90879226
Severn Trent share price rises as first half profit inches up as customer ...,[0.8926313  0.06039266 0.04697605],positive,0.8322386
Aviva suspends trading in Â£1.8bn UK property fund,[0.01855377 0.93417597 0.04727029],negative,-0.9156222
HSBC Hit by Fresh Details of Tax Evasion Claims,[0.13068715 0.6646102  0.2047027 ],negative,-0.53392303
