sentence,logit,prediction,sentiment_score
Morrisons book second consecutive quarter of sales growth,[0.6513534  0.18929307 0.15935352],positive,0.46206033
IMI posts drop in first-quarter organic revenue; warns on full year,[0.01106862 0.97295064 0.01598073],negative,-0.961882
"Glencore to refinance its short-term debt early, shares rise",[0.58328944 0.24995482 0.16675575],positive,0.33333462
EasyJet attracts more passengers in June but still lags Ryanair,[0.02586743 0.95432496 0.01980759],negative,-0.92845756
Barclays 'bad bank' chief to step down,[0.06538602 0.6149857  0.3196283 ],negative,-0.5495997
Bilfinger Industrial Services win Â£100m BP contract extension,[0.7407502  0.11128822 0.14796157],positive,0.629462
Bilfinger Industrial Services win Â£100m BP contract extension,[0.7407502  0.11128822 0.14796157],positive,0.629462
Barclays share price subdued as bank faces fresh forex probe,[0.07209023 0.85005534 0.07785433],negative,-0.7779651
Centrica prepared for takeover approach - chairman,[0.07417002 0.00982707 0.9160029 ],neutral,0.064342946
Jim Armitage: Spare no tears as Glencore's bosses are paying such a small price,[0.04292689 0.6166255  0.34044763],negative,-0.5736986
"Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder",[0.75691015 0.13217235 0.11091753],positive,0.6247378
Kingfisher set to open another 200 Screwfix stores,[0.07705942 0.01097205 0.9119686 ],neutral,0.066087365
Diageo sales disappoint as currency and comparatives leave bitter taste,[0.01563953 0.9619982  0.02236236],negative,-0.9463587
Smith & Nephew recalls hip-replacement components,[0.04027035 0.3885237  0.571206  ],neutral,-0.34825334
Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers,[0.02054764 0.92537373 0.05407871],negative,-0.9048261
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,[0.02603611 0.86104715 0.1129168 ],negative,-0.83501107
Here's my 10-point plan to make Tesco great again,[0.3416088  0.00888598 0.6495052 ],neutral,0.3327228
"Schroders posts FY profit beat, replaces CEO and chairman in board shake-up",[0.0248107 0.8653636 0.1098258],negative,-0.8405529
BP Seeks to Get Back Some Gulf Oil Spill Business Payouts,[0.5840732  0.04383606 0.37209073],positive,0.5402371
"Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?",[0.07934757 0.07292721 0.8477252 ],neutral,0.0064203665
"UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs",[0.0132326  0.9726566  0.01411068],negative,-0.959424
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,[0.08994501 0.06647077 0.8435842 ],neutral,0.023474239
"L&G still paying price for dividend cut during crisis, chief says",[0.5999028  0.21726729 0.18282992],positive,0.38263553
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,[0.08994501 0.06647077 0.8435842 ],neutral,0.023474239
"Whitbread eyes savings, price rises to offset wage rises",[0.12845026 0.12688302 0.7446667 ],neutral,0.0015672445
Britain's FTSE lifted by solid Kingfisher,[0.46239707 0.16236119 0.3752418 ],positive,0.3000359
Novo Nordisk and AstraZeneca seek tonic from key drug trials,[0.2901679  0.02036226 0.6894698 ],neutral,0.26980564
Kingfisher takeover of Mr Bricolage could hit a brick wall,[0.05358257 0.68260664 0.26381075],negative,-0.6290241
BP wins right to appeal some Gulf spill damages claims,[0.66810125 0.17754097 0.15435775],positive,0.4905603
Dixons Carphone profit boost on strong sales,[0.6117915  0.3548522  0.03335635],positive,0.2569393
UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100,[0.05737146 0.0207708  0.9218578 ],neutral,0.03660066
Johnson Matthey profit lifted by metals unit sale,[0.7013752  0.24105999 0.05756481],positive,0.4603152
"Barclays, Credit Suisse strike record deals with SEC, NY over dark pools",[0.39712745 0.1816807  0.4211919 ],neutral,0.21544676
UPDATE 1-Shire takes Q2 earnings pain for long-term gain,[0.13391975 0.59578395 0.2702963 ],negative,-0.4618642
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,[0.12740298 0.00976704 0.86283   ],neutral,0.117635936
Standard Chartered considering move from UK,[0.10085876 0.129032   0.77010924],neutral,-0.028173238
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,[0.59579927 0.00712342 0.39707726],positive,0.58867586
US cancels Arctic offshore lease sale after Shell drops interest,[0.02035156 0.9292233  0.05042505],negative,-0.90887177
Shire CEO steps up drive to get Baxalta board talking,[0.5528697  0.03750259 0.40962774],positive,0.5153671
UPDATE 1-Oil major BP freezes pay in 2015 to cut costs,[0.02458886 0.95861095 0.01680022],negative,-0.93402207
Brazil Vale says will appeal ruling to block assets for dam burst,[0.09398427 0.6694679  0.23654784],negative,-0.5754837
"BHP Billiton posts big loss, slashes dividend",[0.0160034  0.96566695 0.01832961],negative,-0.9496635
Reaching New Depths: Glencore's $5bn Loss,[0.20057629 0.06470752 0.7347162 ],neutral,0.13586877
UPDATE 2-EasyJet sees better first half on lower fuel bill,[0.7432489  0.23403129 0.02271984],positive,0.5092176
Britain's FTSE advances as Royal Mail rises,[0.45715213 0.23041208 0.31243578],positive,0.22674005
CompaniesTesco sheds Harris & Hoole coffee shops,[0.08550453 0.07155276 0.84294266],neutral,0.013951771
News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,[0.05806204 0.74949884 0.1924391 ],negative,-0.6914368
Fitch: Citi's 1Q'15 Reports Much Improved Results,[0.9403561  0.03037775 0.0292662 ],positive,0.90997833
Landlord Hammerson's NAV rises on increased leasing activity,[0.876372   0.07968534 0.04394269],positive,0.79668665
CompaniesMetro Bank raises Â£400m ahead of London listing,[0.15517285 0.19208023 0.6527469 ],neutral,-0.036907375
New Morrisons duo get former boss's support to diffuse investor tension,[0.69407785 0.02387091 0.28205127],positive,0.67020696
WPP Q1 Revenue Rises Over 8% - Quick Facts,[0.94502044 0.02317324 0.03180625],positive,0.9218472
Barclays raises 603 million pounds from African business share sale,[0.7077699  0.02963267 0.2625975 ],positive,0.6781372
