sentence,tag,sentiment_label
Kingfisher set to open another 200 Screwfix stores,0.541,positive
Diageo sales disappoint as currency and comparatives leave bitter taste,-0.545,negative
Smith & Nephew recalls hip-replacement components,-0.522,negative
Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers,-0.775,negative
"UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs",-0.989,negative
Britain's FTSE lifted by solid Kingfisher,0.653,positive
"Barclays, Credit Suisse strike record deals with SEC, NY over dark pools",-0.902,negative
"BHP Billiton posts big loss, slashes dividend",-0.938,negative
Reaching New Depths: Glencore's $5bn Loss,-0.913,negative
UPDATE 2-EasyJet sees better first half on lower fuel bill,0.778,positive
News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,0.509,positive
Landlord Hammerson's NAV rises on increased leasing activity,0.659,positive
WPP Q1 Revenue Rises Over 8% - Quick Facts,0.668,positive
RBS and Barclays shares temporarily suspended amid heavily losses,-0.941,negative
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,-0.902,negative
World's banks may halve jobs and branches within 10 years - Barclays ex-boss,-0.521,negative
Severn Trent share price rises as first half profit inches up as customer ...,0.526,positive
Aviva suspends trading in Â£1.8bn UK property fund,-0.78,negative
HSBC Hit by Fresh Details of Tax Evasion Claims,-0.594,negative
News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,-0.666,negative
Sale of Tesco's Clubcard business to WPP on the verge of collapse,-0.518,negative
"Aviva, M&G suspend property funds as investors panic",-0.782,negative
British American Tobacco drops and sues PwC over pollution scandal,-0.528,negative
Shares in BAE Systems hit 10-month high on rating upgrade,0.905,positive
City spirits sink after Diageo comes up short with sales slide,-0.521,negative
Standard Chartered Shares Jump Most Since '12 After Upgrades,0.989,positive
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,0.611,positive
Pearson to cut 4000 jobs as it warns on profits,-0.664,negative
"Britain's FTSE bounces back, Mondi and Barratt lead",0.558,positive
US DOJ antitrust unit subpoenas Mylan over pricing of doxycycline,-0.86,negative
ARM swings to profit in fourth quarter,0.549,positive
Auto Trader share price surges as company floats on LSE,0.655,positive
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",0.555,positive
Shell Targets Gains From Brazil to LNG With Takeover of BG Group,0.5660000000000001,positive
Four former Barclays bankers jailed over Libor,-0.84,negative
Tesco Cut to Junk at Moody's on Concern Revival to Take Time,-0.623,negative
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",0.514,positive
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,0.516,positive
Oil Giant Shell to Cut Around 2800 Jobs Amid BG Takeover,-0.5640000000000001,negative
InterContinental Hotels Group share price climbs on $1.5bn special dividend,0.631,positive
"Falling oil prices hurt Hunting, Weir Group",-0.553,negative
AstraZeneca wins FDA approval for key new lung cancer pill,0.549,positive
FCA set to fine Lloyds record Â£100m over PPI,-0.84,negative
RBS and Barclays shares temporarily suspended amid heavily losses,-0.971,negative
CompaniesAberdeen Asset Mgt reports 10th consecutive quarterly outflows,-0.612,negative
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,0.75,positive
Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout,-0.665,negative
CompaniesRBS pulls a surprise: a 27% jump in profits,0.643,positive
"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",-0.6900000000000001,negative
AstraZeneca chases Acerta to secure next cancer drug winner,0.519,positive
AO World shares tumble on profit warning,-0.8150000000000001,negative
BP to pay investors $175m over Gulf spill claims,-0.637,negative
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",0.508,positive
Tesco rebounds as buyers sense a bargain,0.546,positive
AstraZeneca shares climb 3% as drug maker ups profits forecasts,0.64,positive
FDA approves AstraZeneca drug for advanced lung cancer,0.507,positive
CFTC fines Barclays $560000 for inaccurate swaps position reports,-0.732,negative
Persimmon share price climbs on 23% rise in full-year revenue,0.975,positive
Travis Perkins to create 4000 jobs,0.53,positive
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,0.543,positive
BP Reports $583 Million Loss in First Quarter,-0.741,negative
"Britain's FTSE led lower by ITV, William Hill",-0.637,negative
"FTSE hits three-week low as financials, Tesco fall",-0.612,negative
