sentence,tag
Royal Mail chairman Donald Brydon set to step down,-0.374
Stakes High for AstraZeneca Heart Drug Facing Tough Competition,-0.24
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,-0.161
Insight hires Aviva's David Hillier for multi-asset team,0.137
Primark racks up a happy Christmas after strong sales,0.704
UPDATE 1-Pearson expects to grow this year after solid end to 2014,0.446
Tesco sells Blinkbox and broadband service to TalkTalk,0.136
Unilever profit rises despite sales slump in China,0.213
Tesco leads leap in FTSE 100; Marks & Spencer drops,0.389
Royal Dutch Shell profit rises; dividend up 4%,0.65
Morning Agenda: Shire's Deal for NPS,0.195
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,0.119
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,0.242
Passengers rise at EasyJet and Aer Lingus,0.329
Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,-0.195
"FDA approves NPS drug, in move validating Shire takeover deal",0.332
Ocwen Reaches Settlement With California Regulator,0.171
Morrisons faces festive sales test,-0.113
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,-0.357
Shire to buy NPS for $5.2 billion to boost rare disease drugs,0.235
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,0.295
FDA approves Shire's Vyvanse for binge-eating disorder,0.291
Companies Thetrainline.com announces arrival of London IPO,0.245
Breakingviews: IAG can pay more for Aer Lingus,0.12
Tesco share price jumps as Q3 sales top estimates,0.719
CRH's concrete bid for Holcim Lafarge assets,0.282
Persimmon share price climbs on 23% rise in full-year revenue,0.975
Ruling sets lower limit on potential fine for BP,-0.261
Reed Elsevier share price slides on underwhelming full-year results,-0.526
UPDATE 1-Meggitt reiterates annual outlook after tough 2014,0.021
Slump in Weir leads FTSE down from record high,-0.827
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,0.401
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,0.522
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,0.189
Meggitt share price tumbles as profit falls in 'challenging year',-0.854
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,-0.12
ARM Royalties Accelerate as Smartphone Market Regains Strength,0.571
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,0.101
BG Group appoints new CEO one month early,0.069
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",-0.314
U.S. Debt Lures Schroders as ECB Depresses Rates,0.048
Tullow Oil Suspends Dividend Amid Oil Price Fall,-0.498
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",-0.402
Standard Chartered lags on capital worries,-0.358
Standard Life share price: Insurer buys advice firm Pearson Jones,0.364
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,0.129
MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,0.495
RBS will reportedly appoint Howard Davies as its next chairman,0.089
HSBC Hit by Fresh Details of Tax Evasion Claims,-0.594
Relief for Lewis as Tesco sees sales grow for first time in a year,0.42
Morrisons finance chief to fill gap as CEO leaves early,-0.114
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",0.937
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,0.365
Tesco shareholders back ITV head for chairman,0.139
"Buffett's Berkshire builds Deere stake, dumps Exxon",0.316
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,-0.675
AstraZeneca's patent on asthma drug invalidated by US court,-0.656
Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,-0.075
Whitbread share price climbs on Q4 sales growth,0.513
Warren Buffett defends Berkshire Hathaway's conglomerate structure,0.144
G4S sees profits rise but UK contract problems remain,0.252
Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,0.387
Auto Trader share price surges as company floats on LSE,0.655
New Credit Suisse boss faces stiff challenge in Asia,-0.181
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",0.284
Is It Worth Investing In Tesco PLC And Prudential plc Now?,0.161
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,0.516
Sainsbury's says to outperform rivals in tough market,0.536
CompaniesKingfisher bid for Mr Bricolage runs into trouble,-0.253
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,0.641
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",0.514
GSK and Novartis complete deals to reshape both drugmakers,0.264
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",0.39
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,0.283
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",0.544
British American Tobacco drops and sues PwC over pollution scandal,-0.437
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,-0.651
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",-0.158
How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,0.214
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,0.364
RBI surprises Street; Sensex pares gains after hitting mount 30k,-0.216
Credit Suisse poaches Prudential's Thiam for Asian push,0.125
Kingfisher takeover of Mr Bricolage could hit a brick wall,-0.311
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",-0.508
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,0.053
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,0.361
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,0.379
Randgold profit hit by poor gold price but dividend still increases,-0.052
"CompaniesTravis Perkins lifts dividend, earnings rise 15%",0.494
Market Report: Aviva tops the market as traders approve of its choice of Friends,0.443
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,0.025
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",0.143
CompaniesDiageo stays neutral on India boardroom turmoil,0
Germanwings disaster will not affect image of budget air travel - easyJet,-0.046
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,-0.345
Shell offers 50 percent premium to buy BG for $70 billion,0.193
WPP boosts sales despite cautious clients,0.251
Shell to buy BG Group in $69.7 billion takeover,0.25
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,0.556
UPDATE 1-BP shareholders back more disclosure on climate change risks,0.037
Shell challenges Exxon dominance with 47 billion-pound bid for BG,-0.196
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,0.259
City spirits sink after Diageo comes up short with sales slide,-0.521
Diageo receives reports from United Spirits on financial irregularities involving ...,-0.255
Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,0.777
Tesco sales rise shows tentative recovery continues,0.256
Diageo sales disappoint as currency and comparatives leave bitter taste,-0.545
AstraZeneca profit down as sales of stalwarts fade,-0.405
"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",0.385
Glencore blames rivals for creating metals glut,-0.331
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,-0.221
easyJet leads Britain's FTSE lower as global bond rout resumes,-0.495
Imperial Tobacco Adds Quarterly Dividends After Profit Rose,0.336
BG Group Still Happy With Shell's $70 Billion Offer,0.235
SABMiller buys Meantime to quench thirst for craft beer,0.296
Aviva shuts Friends Life head office in rapid integration move,-0.09
Retailers Kingfisher and Sports Direct rise in Britain's share index,0.459
"GlaxoSmithKline targets growth across units, scraps ViiV IPO",0.229
Tesco share price closes higher as two more directors leave grocer,0.354
Tesco leads FTSE higher on Clubcard bid reports,0.453
Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,0.516
"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct",0.724
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",-0.121
GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,-0.408
Glencore chief blames rivals' overproduction for share price fall,-0.301
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",-0.152
Hargreaves Lansdown share price falls as costs mount - although pensions ...,-0.514
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",0.195
UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,0.461
"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",-0.69
MillerCoors Board Names Gavin Hattersley Interim CEO,0
"Britain's FTSE gains, Land Securities up after dividend hike",0.549
"Britain's FTSE bounces back, Mondi and Barratt lead",0.558
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,0.689
Do it for me' trend underpins UK sales growth at Kingfisher,0.304
"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",0.372
"Centrica extends gas deals with Gazprom, Statoil",0.199
"Aberdeen AM posts H1 outflows, says conditions to remain challenging",-0.364
Severn Trent share price jumps as Canadian investor renews pursuit of utility,0.433
New Morrisons duo get former boss's support to diffuse investor tension,0.143
S&P downgrades Barclays and RBS on government bailout fears,-0.53
Irish housebuilder Cairn Homes plans London listing,0.189
Arm slammed by handset sales outlook,-0.41
CompaniesLSE adds ex-SEC head Schapiro to board,0.076
Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,-0.41
FTSE 100 flat; Standard Chartered leads risers,0.589
CompaniesHoward Davies appointment as RBS director delayed,-0.025
Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,-0.09
Dixons Carphone profit boost on strong sales,0.478
"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",0.334
"Royal Mail, Johnson Matthey lead FTSE lower",-0.438
Sainsbury sales slip again as price pressures take a toll,-0.303
Sophos aims to raise $100m in London IPO,0.214
UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,0.164
Borealis Infrastructure putting together new Severn Trent bid,0.214
"FTSE falls to 3-month low on Greek debt concerns, easyJet skids",-0.414
Johnson Matthey share price slumps as company posts full-year results,-0.626
UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,0.199
Petrofac books further Â£30m cost for Shetland gas terminal delays,-0.343
Petrofac share price rises despite Â£30m costs on North Sea project,0.09
Whitbread boss Andy Harrison defends sales fall as 'just a blip',-0.1
Barclays share price subdued as bank faces fresh forex probe,-0.373
CompaniesActelion shares hit record on Shire takeover talk,0.721
LSE gets Hong Kong regulatory nod to HK firms to become LSE members,0.247
Diageo Shares Surge on Report of Possible Takeover by Lemann,0.415
RBS chairman admits surprise at size of regulatory penalties,-0.333
RSA Insurance Hires Towergate's Egan as Chief Financial Officer,0.002
Johnson Matthey raises prospect of investor payout,0.281
InterContinental Hotels Denies Reports of Starwood Merger Talks,-0.078
REFILE-Hikma and Barclays help Britain's FTSE to climb higher,0.452
FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,0.42
AstraZeneca suffers setback after drug fails to treat eye cancer,-0.392
British American Tobacco first-half sales hurt by currency moves,-0.346
Zurich Insurance Considering Offer for UK Rival RSA Insurance,0.25
Japan's Nikkei lands Financial Times in $1.3 billion deal,0.262
"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",-0.248
UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,0.258
Sainsbury sells unit to LloydsPharmacy,0.234
BAE Systems's sales boosted by European Typhoon and currencies,0.39
"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims",-0.315
"Britain's FTSE steadies, supported by Dixons Carphone",0.329
Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,0.284
AstraZeneca sells Caprelsa rights to Sanofi unit,0.233
UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,-0.229
Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout,-0.665
"FTSE led lower by M&S, GlaxoSmithKline",-0.448
GKN to buy Fokker Technologies for 706 mln euros,0.276
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,0.198
"UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA",0.148
Chime Communications Set To Be Acquired By WPP And Providence,0.202
"CompaniesNew Aggreko CEO to reshape business, strip costs",0.177
AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug,0.33
Rio Tinto CEO says iron ore market at equilibrium,0
US sanctions put Gazprom-Shell alliance plans in jeopardy,-0.314
Standard Chartered Not Raising Capital Yet As Dividend Cut,-0.158
"UPDATE 1-BHP Billiton's credit ratings fragile in FY16, agencies warn",-0.338
CRH adds CR Laurence to acquisitions tally for $1.3bn,0.231
Novartis buys remaining rights to GSK treatment in deal up to $1 billion,0.217
"AstraZeneca bags another cancer drug deal, this time with Inovio",0.316
REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,-0.398
"L&G still paying price for dividend cut during crisis, chief says",-0.338
Buffett's Company Reports 37 Percent Drop in 2Q Earnings,-0.566
Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,0.769
"Tesco, Asda sales fall as march of the discounters continues: Kantar",-0.398
Shire proposes $30 bln all-share tie-up with Baxalta,0.22
Shire CEO steps up drive to get Baxalta board talking,0.124
"Tesco, Asda sales fall as march of the discounters continues-Kantar",-0.356
Verizon and AT&T accused of hurting rivals,-0.446
"FTSE 100 falls as China devaluation hits Burberry, mining stocks",-0.479
"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",-0.647
CompaniesCar insurer Hastings Group driving Â£180m IPO,0.302
Glencore slumps 25 pct as debt fears grow,-0.718
Horizonte acquires neighbouring Glencore nickel property in Brazil,0.182
UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,0.078
