sentence,logit,prediction,sentiment_score
Kingfisher set to open another 200 Screwfix stores,[0.22662902 0.39333898 0.38003197],negative,-0.16670996
Diageo sales disappoint as currency and comparatives leave bitter taste,[0.22726293 0.40146568 0.3712714 ],negative,-0.17420276
Smith & Nephew recalls hip-replacement components,[0.23806596 0.40418252 0.3577515 ],negative,-0.16611657
Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers,[0.23135647 0.40118575 0.3674578 ],negative,-0.16982928
"UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs",[0.23700038 0.4058203  0.35717928],negative,-0.16881993
Britain's FTSE lifted by solid Kingfisher,[0.22277446 0.39886484 0.37836066],negative,-0.17609037
"Barclays, Credit Suisse strike record deals with SEC, NY over dark pools",[0.23054321 0.4029054  0.36655134],negative,-0.1723622
"BHP Billiton posts big loss, slashes dividend",[0.21848162 0.42563173 0.35588667],negative,-0.20715012
Reaching New Depths: Glencore's $5bn Loss,[0.22673137 0.39602143 0.37724715],negative,-0.16929005
UPDATE 2-EasyJet sees better first half on lower fuel bill,[0.24196023 0.41775817 0.3402816 ],negative,-0.17579794
News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,[0.22949436 0.41661674 0.3538889 ],negative,-0.18712237
Landlord Hammerson's NAV rises on increased leasing activity,[0.22993998 0.39590812 0.37415192],negative,-0.16596813
WPP Q1 Revenue Rises Over 8% - Quick Facts,[0.22903375 0.3985792  0.37238696],negative,-0.16954546
RBS and Barclays shares temporarily suspended amid heavily losses,[0.23010248 0.4007882  0.36910933],negative,-0.17068571
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,[0.23076151 0.40243816 0.3668003 ],negative,-0.17167665
World's banks may halve jobs and branches within 10 years - Barclays ex-boss,[0.23746872 0.40004417 0.36248714],negative,-0.16257545
Severn Trent share price rises as first half profit inches up as customer ...,[0.22655827 0.39744622 0.37599555],negative,-0.17088795
Aviva suspends trading in Â£1.8bn UK property fund,[0.22091343 0.40856975 0.37051678],negative,-0.18765633
