date,desc_sentence,desc_logit,desc_prediction,desc_sentiment_score,title_sentence,title_logit,title_prediction,title_sentiment_score,sentence
2020-12-31,Binance.US and eToro are the latest exchanges to discontinue XRP trading in America as Ripple faces the SEC's enforcement hammer.,[0.01926832 0.60980135 0.37093034],negative,-0.590533,US exchanges are suspending or delisting XRP left and right,[0.01493172 0.64633125 0.33873698],negative,-0.6313995,US exchanges are suspending or delisting XRP left and right. Binance.US and eToro are the latest exchanges to discontinue XRP trading in America as Ripple faces the SEC's enforcement hammer.
2020-12-31,Corporations and institutional investors seeking an alternate store of value amid the pandemic crisis drove crypto to new heights in 2020.,[0.52409786 0.0324481  0.44345406],positive,0.49164975,Top 10 crypto and blockchain stories of 2020,[0.05117621 0.02475976 0.92406404],neutral,0.026416454,Top 10 crypto and blockchain stories of 2020. Corporations and institutional investors seeking an alternate store of value amid the pandemic crisis drove crypto to new heights in 2020.
2020-12-30,"2020 may have been filled with challenges, but Bitcoin, stablecoins and DeFi protocols are the clear top performing crypto assets for the year.",[0.6142264  0.03158522 0.35418844],positive,0.5826412,"Bitcoin, stablecoins and DeFi: 2020’s top-performing crypto assets",[0.45912546 0.01819878 0.52267575],neutral,0.44092667,"Bitcoin, stablecoins and DeFi: 2020’s top-performing crypto assets. 2020 may have been filled with challenges, but Bitcoin, stablecoins and DeFi protocols are the clear top performing crypto assets for the year."
2020-12-30,The SEC’s case against Ripple for selling XRP as an unlicensed security will begin with a pretrial in February 2021.,[0.03336175 0.04412734 0.922511  ],neutral,-0.01076559,SEC lawsuit against Ripple set for virtual pretrial conference in February,[0.05280166 0.25976938 0.68742895],neutral,-0.20696771,SEC lawsuit against Ripple set for virtual pretrial conference in February. The SEC’s case against Ripple for selling XRP as an unlicensed security will begin with a pretrial in February 2021.
2020-12-29,Ripple issued a statement on Tuesday urging market participants to hear its side of the story amid the ongoing SEC saga.,[0.17334597 0.04449201 0.782162  ],neutral,0.12885396,Ripple vows to respond to SEC ‘attack’ amid exchange delistings of XRP,[0.58478427 0.03973309 0.37548265],positive,0.54505116,Ripple vows to respond to SEC ‘attack’ amid exchange delistings of XRP. Ripple issued a statement on Tuesday urging market participants to hear its side of the story amid the ongoing SEC saga.
2020-12-29,XRP price hit new monthly lows after Coinbase revealed it will delist the token in January.,[0.01090921 0.9684096  0.02068126],negative,-0.9575004,How low can XRP go? Watch these price levels next,[0.04456937 0.01655698 0.93887365],neutral,0.028012391,How low can XRP go? Watch these price levels next. XRP price hit new monthly lows after Coinbase revealed it will delist the token in January.
2020-12-29,"Bitcoin dominance is likely topping out, Michaël van de Poppe argues, as Bitcoin gives way to strong moves from some top 10 altcoins.",[0.93846446 0.02223642 0.03929914],positive,0.91622806,Bitcoin price rally cools down as Polkadot gains 34% in first week of ‘altseason’,[0.14815743 0.817513   0.03432959],negative,-0.6693556,"Bitcoin price rally cools down as Polkadot gains 34% in first week of ‘altseason’. Bitcoin dominance is likely topping out, Michaël van de Poppe argues, as Bitcoin gives way to strong moves from some top 10 altcoins."
2020-12-29,"Though Ripple CEO Brad Garlinghouse is prepared to challenge the SEC over its lawsuit, the knock may be hard to come back from.",[0.02609062 0.83510494 0.13880442],negative,-0.8090143,XRP price faces a rocky road to recovery ahead of SEC’s Ripple lawsuit,[0.08305799 0.8831771  0.0337649 ],negative,-0.8001191,"XRP price faces a rocky road to recovery ahead of SEC’s Ripple lawsuit. Though Ripple CEO Brad Garlinghouse is prepared to challenge the SEC over its lawsuit, the knock may be hard to come back from."
2020-12-28,Such regulation by enforcement does indeed run the risk of stifling important and valuable innovation in the crypto space.,[0.07118809 0.4062462  0.52256566],neutral,-0.3350581,SEC vs. Ripple: A predictable but undesirable development,[0.11076282 0.02115716 0.86808   ],neutral,0.08960566,SEC vs. Ripple: A predictable but undesirable development. Such regulation by enforcement does indeed run the risk of stifling important and valuable innovation in the crypto space.
2020-12-27,Bitcoin price remains in a strong uptrend and this presents a rosy outlook for BTC and many altcoins.,[0.0318592  0.9539821  0.01415874],negative,-0.9221229,"2021 price outlook: BTC, ETH, XRP, LTC, BCH, LINK, ADA, BNB, DOT, XLM",[0.03588702 0.01775973 0.94635326],neutral,0.018127292,"2021 price outlook: BTC, ETH, XRP, LTC, BCH, LINK, ADA, BNB, DOT, XLM. Bitcoin price remains in a strong uptrend and this presents a rosy outlook for BTC and many altcoins."
2020-12-25,XRP price rose 40% in a single day as liquidations across futures exchanges topped $73.5 million.,[0.9513902  0.02247673 0.02613314],positive,0.9289135,XRP price just surged 40% in a surprise relief rally — Here’s why,[0.4956434  0.02187472 0.48248193],positive,0.47376868,XRP price just surged 40% in a surprise relief rally — Here’s why. XRP price rose 40% in a single day as liquidations across futures exchanges topped $73.5 million.
2020-12-24,XRP price dropped to as low as $0.2138 on Binance as three key factors pushed the cryptocurrency down.,[0.00750111 0.97457606 0.01792292],negative,-0.96707493,3 reasons why XRP price can continue to fall after a 63% crash in four days,[0.03088001 0.89752215 0.07159793],negative,-0.8666421,3 reasons why XRP price can continue to fall after a 63% crash in four days. XRP price dropped to as low as $0.2138 on Binance as three key factors pushed the cryptocurrency down.
2020-12-24,MoneyGram sheds light on the nature of its partnership with Ripple.,[0.0612165  0.02667028 0.91211325],neutral,0.03454622,"MoneyGram distances itself from Ripple, says it doesn't utilize RippleNet",[0.02554153 0.08702877 0.8874297 ],neutral,-0.061487235,"MoneyGram distances itself from Ripple, says it doesn't utilize RippleNet. MoneyGram sheds light on the nature of its partnership with Ripple."
2020-12-24,The Bitwise 10 Crypto Index Fund has liquidated its XRP holdings.,[0.01337654 0.89859664 0.08802683],negative,-0.8852201,Bitwise dumps XRP investment amid SEC lawsuit against Ripple,[0.01579281 0.86812484 0.11608239],negative,-0.85233206,Bitwise dumps XRP investment amid SEC lawsuit against Ripple. The Bitwise 10 Crypto Index Fund has liquidated its XRP holdings.
2020-12-23,Several exchanges have already halted XRP trading after the SEC's lawsuit against Ripple was revealed.,[0.00845545 0.91822773 0.07331681],negative,-0.9097723,XRP price falls 24% in 24 hours as exchanges begin delisting,[0.00980696 0.96864074 0.02155227],negative,-0.95883375,XRP price falls 24% in 24 hours as exchanges begin delisting. Several exchanges have already halted XRP trading after the SEC's lawsuit against Ripple was revealed.
2020-12-23,Ripple CEO assures shareholders and the industry that the company will win the case brought by the the United States SEC.,[0.83199805 0.01003349 0.1579685 ],positive,0.82196456,Ripple CEO Garlinghouse responds to SEC complaint against XRP,[0.03901782 0.45008528 0.5108969 ],neutral,-0.41106746,Ripple CEO Garlinghouse responds to SEC complaint against XRP. Ripple CEO assures shareholders and the industry that the company will win the case brought by the the United States SEC.
2020-12-23,The D.C.-based think tank doesn’t view XRP in the same light as Bitcoin or Ethereum.,[0.03778012 0.02817524 0.9340446 ],neutral,0.009604881,Don't expect Coin Center to stick up for XRP in the face of the SEC,[0.696899   0.01107326 0.29202777],positive,0.68582577,Don't expect Coin Center to stick up for XRP in the face of the SEC. The D.C.-based think tank doesn’t view XRP in the same light as Bitcoin or Ethereum.
