sentence,tag
Morrisons book second consecutive quarter of sales growth,0.43
IMI posts drop in first-quarter organic revenue; warns on full year,-0.34400000000000003
"Glencore to refinance its short-term debt early, shares rise",0.34
EasyJet attracts more passengers in June but still lags Ryanair,0.259
Barclays 'bad bank' chief to step down,-0.231
Bilfinger Industrial Services win Â£100m BP contract extension,0.113
Bilfinger Industrial Services win Â£100m BP contract extension,0.424
Barclays share price subdued as bank faces fresh forex probe,-0.373
Centrica prepared for takeover approach - chairman,0.111
Jim Armitage: Spare no tears as Glencore's bosses are paying such a small price,-0.231
"Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder",-0.221
Kingfisher set to open another 200 Screwfix stores,0.541
Diageo sales disappoint as currency and comparatives leave bitter taste,-0.545
Smith & Nephew recalls hip-replacement components,-0.522
Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers,-0.775
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,-0.271
Here's my 10-point plan to make Tesco great again,0.09
"Schroders posts FY profit beat, replaces CEO and chairman in board shake-up",0.052000000000000005
BP Seeks to Get Back Some Gulf Oil Spill Business Payouts,0.181
"Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?",0.0
"UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs",-0.989
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,0.053
"L&G still paying price for dividend cut during crisis, chief says",-0.338
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,0.314
"Whitbread eyes savings, price rises to offset wage rises",0.139
Britain's FTSE lifted by solid Kingfisher,0.653
Novo Nordisk and AstraZeneca seek tonic from key drug trials,0.099
Kingfisher takeover of Mr Bricolage could hit a brick wall,-0.311
BP wins right to appeal some Gulf spill damages claims,0.23600000000000002
Dixons Carphone profit boost on strong sales,0.47800000000000004
UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100,0.128
Johnson Matthey profit lifted by metals unit sale,0.40700000000000003
"Barclays, Credit Suisse strike record deals with SEC, NY over dark pools",-0.902
UPDATE 1-Shire takes Q2 earnings pain for long-term gain,-0.17400000000000002
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,0.437
Standard Chartered considering move from UK,0.166
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,0.24
US cancels Arctic offshore lease sale after Shell drops interest,-0.019
Shire CEO steps up drive to get Baxalta board talking,0.203
UPDATE 1-Oil major BP freezes pay in 2015 to cut costs,-0.2
Brazil Vale says will appeal ruling to block assets for dam burst,-0.131
"BHP Billiton posts big loss, slashes dividend",-0.9380000000000001
Reaching New Depths: Glencore's $5bn Loss,-0.913
UPDATE 2-EasyJet sees better first half on lower fuel bill,0.778
Britain's FTSE advances as Royal Mail rises,0.47600000000000003
CompaniesTesco sheds Harris & Hoole coffee shops,0.30000000000000004
News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,0.509
Fitch: Citi's 1Q'15 Reports Much Improved Results,0.378
Landlord Hammerson's NAV rises on increased leasing activity,0.659
CompaniesMetro Bank raises Â£400m ahead of London listing,0.296
New Morrisons duo get former boss's support to diffuse investor tension,0.14300000000000002
WPP Q1 Revenue Rises Over 8% - Quick Facts,0.668
Barclays raises 603 million pounds from African business share sale,0.309
REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,-0.398
Dividends Unleashed At Royal Bank of Scotland Group plc,0.425
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",0.128
"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",0.326
RBS and Barclays shares temporarily suspended amid heavily losses,-0.9410000000000001
BP sees Q1 earnings slide as low oil prices take their toll,-0.376
Johnson Matthey revs up on clean air drive,0.224
Tesco boss urges rethink on minimum wage and business rates,0.17300000000000001
Is It Worth Investing In Tesco PLC And Prudential plc Now?,0.161
RBS will reportedly appoint Howard Davies as its next chairman,0.089
UPDATE 1-Seattle flotilla protests Shell's Arctic drilling plans,-0.338
Petrofac books further Â£30m cost for Shetland gas terminal delays,-0.343
G4S suspends workers at UK youth centre over allegations of unnecessary force,-0.323
TalkTalk hires BAE Systems to investigate cyber attack,0.217
Osborne extends Lloyds sell-off plan,-0.311
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,-0.902
CompaniesLord Livingston joins Dixons Carphone,0.364
Tesco names Deloitte as new auditor after accounting scandal,0.26
World's banks may halve jobs and branches within 10 years - Barclays ex-boss,-0.521
Severn Trent share price rises as first half profit inches up as customer ...,0.526
Clinigen chosen by AstraZeneca to manage access programme for next ...,0.328
Valeant's Pearson says timing of return uncertain,-0.044
Aviva suspends trading in Â£1.8bn UK property fund,-0.78
Horizonte acquires neighbouring Glencore nickel property in Brazil,0.182
Indy future in doubt as Johnston Press lines up deal for 'i',0.155
Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,0.277
"BHP Billiton half-year profit falls, beats forecasts",0.082
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,0.259
Barclays to speed up cost-cuts after new mis-selling hit,-0.25
"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",0.133
HSBC Hit by Fresh Details of Tax Evasion Claims,-0.594
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",-0.092
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",0.221
Wolseley says Nicholls won't join as finance chief,-0.08700000000000001
UK lawmakers warn Royal Mail against further price hikes,-0.164
StanChart and RBS struggle in Bank of England stress tests,-0.39
StanChart may see white knight takeover on painful recovery - CLSA,-0.155
AstraZeneca suffers setback after drug fails to treat eye cancer,-0.392
News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,-0.666
Retail giant Kingfisher reports 'solid' start to the year,0.368
Unilever Continues to Battle Soft Demand,-0.264
Fresnillo Production Surges But Profit Hit By Lower Prices,0.21
Helge Lund moves to BG a month early,0.05
"Tesco set to sell Kipa, Giraffe businesses - Sky News",-0.192
"RBS warns of higher misconduct charges, obstacles ahead",-0.383
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",0.307
Standard Life slips as Greek worries peg back Britain's FTSE,-0.40700000000000003
Glencore sells agri unit stake for $2.5 billion to Canadian pension fund,0.466
FCA bans former RBS Libor submitter,-0.28500000000000003
AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,0.127
Standard Chartered Not Raising Capital Yet As Dividend Cut,-0.158
"Tesco set to sell Kipa, Giraffe businesses - Sky News",0.23
United Utilities FY profit up 3.5%; to boost capex,0.42
Sale of Tesco's Clubcard business to WPP on the verge of collapse,-0.518
UK's Osborne may sell state-owned RBS shares at a loss -paper,-0.30000000000000004
Tesco Sale Is Asia's Biggest Private-Equity Deal,0.378
Industry NewsWolseley confident in reslilience amid mixed markets,0.28700000000000003
Japan's Nikkei lands Financial Times in $1.3 billion deal,0.262
UPDATE: Peter Long To Be Chairman Of Both Royal Mail And TUI AG,0.0
UK regulators license BAT e-cigarette as quit-smoking medicine,0.461
"Aviva, M&G suspend property funds as investors panic",-0.782
British American Tobacco drops and sues PwC over pollution scandal,-0.528
Aberdeen's shares slide as net outflows accelerate,-0.434
REFILE-Hikma and Barclays help Britain's FTSE to climb higher,0.452
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",-0.13
Standard Chartered share price: Aberdeen CEO would back potential capital increase,0.167
Severn Trent share price jumps as Canadian investor renews pursuit of utility,0.433
France raises concerns over proposed LSE-Deutsche Boerse deal,-0.34700000000000003
Bunzl blames weakness in United States for first-half revenue slowdown,-0.335
Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,-0.498
Tushar Morzaria is bookies' favourite to be new Barclays chief executive,0.0
CompaniesG4S claims 'positive' start to the year,0.303
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",-0.042
Shares in BAE Systems hit 10-month high on rating upgrade,0.905
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,0.233
Royal Dutch Shell plc: Shell Updates on Alaska Exploration,0.0
City spirits sink after Diageo comes up short with sales slide,-0.521
Tesco sales recover as focus returns to core business,0.35000000000000003
London Stock Exchange unit in talks to operate Plato venue,0.14400000000000002
ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,0.34500000000000003
GSK joins China trade push as UK trumpets healthcare deals,0.294
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",0.0
HSBC marks muted 150th birthday party with grain of rice sculptures,0.0
Barclays appoints JPMorgan's Paul Compton as new COO,0.036000000000000004
Standard Chartered Shares Jump Most Since '12 After Upgrades,0.989
Italy Probes Shell's Role in Purchase of Nigerian Oil Block,-0.231
Shropshire and Mid Wales trains to be hit again in new strike by Arriva drivers,-0.4
Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,0.138
Randgold profit hit by poor gold price but dividend still increases,-0.052000000000000005
AstraZeneca does US$770mln anaesthetic deal,0.365
AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,-0.369
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,0.611
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,0.182
Pearson to cut 4000 jobs as it warns on profits,-0.664
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",-0.198
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,0.105
"Intertek Hit By Pound Strength, Oil & Gas Slowdown; Still Ups Dividend",-0.391
Tesco says recovery plan working after profit collapse,0.213
Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,0.20800000000000002
Shell and BG Shareholders to Vote on Deal at End of January,0.0
"Intercontinental Hotels, Starwood held early deal talks - FT",0.145
Warren Buffett's Berkshire Hathaway buys stake in Apple,0.481
Sunday Papers: Shire told to raise its offer by Baxalta investors,0.343
"Britain's FTSE bounces back, Mondi and Barratt lead",0.558
Glencore slashes 2015 capex budget as annual profits slip 2%,-0.37
Anheuser-Busch InBev Increases Offer for Rival SABMiller,0.123
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,0.0
"UPDATE 2-Exchanges, Barclays win dismissal of US high-frequency trading case",0.212
MarketsUS industrials lag as Barclays dims view,-0.34
Zurich Insurance Considering Offer for UK Rival RSA Insurance,0.376
US DOJ antitrust unit subpoenas Mylan over pricing of doxycycline,-0.86
AstraZeneca sells US gout drug rights to Ironwood for up to $265 million,0.335
"Shell, Chevron Await LNG's Return From `Pause Mode'",0.057
Companies raise less money on London Stock Exchange in 2015,-0.199
Shell and BG Shareholders to Vote on Deal at End of January,0.0
Glencore shares rally after miner hits back,0.40700000000000003
ABN Amro: Bank that brought down RBS poised for return to the market,0.353
Verizon and AT&T accused of hurting rivals,-0.447
ARM swings to profit in fourth quarter,0.549
Johnson Matthey profit falls but dividend rises,0.0
Auto Trader share price surges as company floats on LSE,0.655
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,0.1
Hargreaves Landown slides on trading update,-0.464
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",-0.226
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",0.555
Shell Targets Gains From Brazil to LNG With Takeover of BG Group,0.5660000000000001
Four former Barclays bankers jailed over Libor,-0.84
Tesco Cut to Junk at Moody's on Concern Revival to Take Time,-0.623
LPC-Glencore launches refinancing of $8.45billion loan,0.193
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",0.514
Easyjet targets business travellers with new perks,0.147
BP joins forces with Det Norske in Norway,0.24
Shire proposes $30 bln all-share tie-up with Baxalta,0.269
Tesco sales rise shows tentative recovery continues,0.256
Valeant Names Interim Leader as CEO Remains Hospitalized,0.0
AstraZeneca weighing up Acerta bid to secure blood cancer drug,0.28400000000000003
BP asks for lower fine in penalty phase of Gulf spill trial,-0.16
MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,0.487
"Warren Buffett's Awesome Feat at Berkshire Hathaway, Revisited",0.156
Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,0.292
SSE cuts gas prices by 4.1% to become fifth of 'Big Six' providers to slash energy ...,-0.17300000000000001
Silicon Fen' champion brings exacting approach to Rolls-Royce,0.099
Tesco Said to Discuss Central and Eastern European Unit Sale,0.364
Glencore launches refinancing of credit line,0.199
Should You Follow Berkshire Hathaway Into Apple Stock?,0.023
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,0.516
FDA approves Shire's Vyvanse for binge-eating disorder,0.291
Entertainment One dispels ITV takeover rumours,0.138
"Despite sales growth, UK's Tesco cautions recovery to be bumpy",-0.077
Oil Giant Shell to Cut Around 2800 Jobs Amid BG Takeover,-0.5640000000000001
BAE Systems banks on US defence spending to fix sales slide,-0.069
UK Christmas power demand to be lowest in 16 years â€“ National Grid,-0.334
CompaniesCompass serves up half year profit rise,0.426
UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100,-0.15
InterContinental Hotels Group share price climbs on $1.5bn special dividend,0.631
AstraZeneca in Talks to Buy Cancer Drug Developer Acerta Pharma,0.21
Amazon to attack UK grocery market with Morrisons deal,0.34900000000000003
Tesco made a bit of a crucial error in this promotion for Ramadan...,-0.265
"Falling oil prices hurt Hunting, Weir Group",-0.553
Morning Agenda: Shire's Deal for NPS,0.195
AstraZeneca wins FDA approval for key new lung cancer pill,0.549
FCA set to fine Lloyds record Â£100m over PPI,-0.84
"Barclays's Next CEO Should Be Investment Banker, Aberdeen Says",0.1
RBS and Barclays shares temporarily suspended amid heavily losses,-0.971
Shire to buy NPS for $5.2 billion to boost rare disease drugs,0.23500000000000001
Tesco's boardroom clearout continues,-0.168
BHP Billiton says no settlement yet on Brazil dam disaster,-0.2
Arm buoyed by race to build the internet of things,0.352
AstraZeneca diabetes drug combination faces delay after FDA rebuff,-0.391
Amazon's grocery deal with Morrisons is only the beginning,0.389
BAE Systems's sales boosted by European Typhoon and currencies,0.39
CompaniesAberdeen Asset Mgt reports 10th consecutive quarterly outflows,-0.612
Barclays CEO poaches risk head from JP Morgan,-0.1
BP signs $12 billion energy deal in Egypt,0.48
Shire says internal synergy goals from Baxalta deal higher,0.23
WPP wins race for 'programmatic buying' agency Essence Digital,0.299
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,0.75
AstraZeneca investment eats into profit,-0.064
"AstraZeneca bags another cancer drug deal, this time with Inovio",0.316
CompaniesCentrica shares drop 7% amid capital raise,-0.429
Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout,-0.665
UPDATE 1-Britain's Tullow says makes new oil find in Kenya,0.402
Britain's power supplies enough to meet winter demand - National Grid,0.279
Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,0.434
UPDATE 3-Buffett's Berkshire raises oil bet with Kinder Morgan stake,0.189
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",0.315
PRESS: US High-Frequency Lawsuit Against Barclays Dismissed - Reuters,0.231
Shell CEO van Beurden's remuneration fell in 2015,-0.1
"Aberdeen AM posts H1 outflows, says conditions to remain challenging",-0.364
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",-0.179
Shell seeks to remove Greenpeace activists from oil rig,-0.035
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",-0.121
Pearson Forecasts Rising Earnings as Reorganization Pays Off,0.386
Morrisons faces festive sales test,-0.113
Aviva shuts Friends Life head office in rapid integration move,-0.09
Tesco to pay Â£8m to settle class-action lawsuit after accounting scandal,-0.323
UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,0.164
CompaniesRoyal Mail stake sale delivers Â£750m for taxpayer,-0.109
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,0.056
Spain's Caixabank launches new takeover bid for Banco BPI,0.185
Former Aviva Investors analyst Mothahir Miah banned and fined Â£139000 by FCA ...,-0.373
ARM shrugs off smartphone slowdown as newer designs win share,0.178
UPDATE 1-Petrofac posts net loss hurt by Shetland Islands project costs,-0.446
Do it for me' trend underpins UK sales growth at Kingfisher,0.304
RBS invites pitches for broker role ahead of privatisation - sources,0.2
Bunzl delivers small profit increase for 2014,0.247
AB InBev Holds Talks With Regulators About California Deals,-0.018000000000000002
CompaniesMorrison evicted from FTSE 100 as Worldpay joins,-0.452
Barclays denies deferred prosecution offer from SFO,-0.196
LONDON MIDDAY BRIEFING: Kingfisher's French Expansion Hits The Rocks,-0.377
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",0.122
Tesco chief excutive Dave Lewis sees 'encouraging signs' despite profits tumble,0.211
"EasyJet ""Sneakairs"": Airline is testing smart shoes to help customers explore destinations",0.188
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,0.293
SSE faces profiteering accusations despite 5.3% cut in gas charges,-0.31
CompaniesRBS pulls a surprise: a 27% jump in profits,0.643
"Shell, Chevron Await LNG's Return From `Pause Mode'",0.067
Barclays settles with US investors over Libor manipulation,0.28500000000000003
"Tesco says recovery on track, asks investors to be patient",0.19
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",0.14
"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",-0.6900000000000001
National Grid profit up 15%; gas sale on track,0.368
AstraZeneca chases Acerta to secure next cancer drug winner,0.519
"Prudential capital ratio beats forecasts, confirms UK head",0.337
CompaniesEx-City watchdog Turner joins Prudential board,0.0
"Militants fire rockets at Algerian BP/Statoil gas plant, no casualties",-0.444
BG Group Still Happy With Shell's $70 Billion Offer,0.23500000000000001
CompaniesAstraZeneca wins nod for 'blockbuster' hopeful,0.499
Shell to Lay Off Another 2200 Staff,-0.222
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,0.099
CompaniesDiageo stays neutral on India boardroom turmoil,0.0
Tesco to 'axe 10000 jobs' in 'simplification' drive to cut costs by 30 per cent,0.2
Barclays poised to replace Sir Mike Rake as he heads for exit,0.077
Tesco bans sugary drinks in â€œchildhood obesity driveâ€퀀,0.02
Tata Steel working with StanChart for UK unit sale - source,0.14300000000000002
Sainsbury's share price: Grocer launches click-and-collect,0.021
AO World shares tumble on profit warning,-0.8150000000000001
Shell Targets Gains From Brazil to LNG With Takeover of BG Group,0.148
Glencore tells investors it is on track to reduce debt: Barclays,0.278
Whitbread boss Andy Harrison defends sales fall as 'just a blip',-0.1
Borealis Infrastructure putting together new Severn Trent bid,0.214
AstraZeneca sells US drug rights to Perrigo for $380 mln,0.326
Aggreko 2015 Profit Declines - Quick Facts,-0.441
Pearson lags as UK's FTSE slips off record high,-0.372
RBS hands Â£3.3m of shares to top staff,0.12
Glencore sells agriculture stake for $2.5bn,0.423
Barclays says has spent $150 million on US 'living will',-0.075
RBS share price: Group plans to slash 600 jobs,-0.457
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,0.365
"Eurozone bank lending continues to recover, slowly, Barclays says",0.35000000000000003
RBS breaks with past by tearing investment bank apart,-0.05
Aberdeen Asset Management Gains Foothold In China,0.357
BP to pay investors $175m over Gulf spill claims,-0.637
Persimmon sees post-election pick-up,0.253
Fewer multi-buys hurt Sainsbury's market share,-0.35100000000000003
Australia clears AB Inbev's $100 billion SABMiller buyout plan,0.437
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",0.508
AstraZeneca profit down as sales of stalwarts fade,-0.405
Tesco Mobile Partners with Unlockd to Change the Way Consumers Use and Pay for Their Mobile Phones,0.439
Associated British Foods helps FTSE to rebound,0.366
Why Shell Cut Ties to Conservative Lobby Group Over Climate Change,0.0
Johnson Matthey sells research chemicals unit to Thermo Scientific,0.28600000000000003
Tesco rebounds as buyers sense a bargain,0.546
"Valeant CEO Returns From Leave, Company Withdraws Guidance",0.001
AstraZeneca shares climb 3% as drug maker ups profits forecasts,0.64
"FastJet slams EasyJet founder Stelios for going public, is ""taking legal advice"" over letter about contractual ...",-0.23800000000000002
"Failure of leadership' behind Tesco troubles, says former CEO Leahy",-0.279
British American Tobacco says would fight UK 'plain packaging' law,-0.116
"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",0.427
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,0.329
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",0.0
Persimmon reports strong trading despite EU vote and planning delays,0.359
NYSE owner ICE considers offer for LSE,0.096
CompaniesSanofi poaches immunology expert from AstraZeneca,-0.085
Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...,0.0
BP ends 27-year sponsorship of Tate as falling oil price takes toll,-0.293
Royal Dutch Shell pulls plug on Arctic exploration,-0.38
Horizonte acquires neighbouring Glencore nickel property in Brazil,0.258
"Standard Chartered, RBS Escape Capital Raising in Stress Test",0.321
FDA approves AstraZeneca drug for advanced lung cancer,0.507
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,0.105
"Water utility Severn Trent ups savings forecast, FY profit falls",0.177
Reed Elsevier shares cool after profit dip,-0.369
BAE Systems lines up oil exec Woodburn as next CEO -source,0.074
Diageo share price: Group issues half-year update,0.0
CompaniesDiageo moves CFO to lead North American business,0.0
"RBS, Lloyds Most Exposed to Commercial Property, JPMorgan Says",-0.2
Legal & General share price: Finance chief to step down,-0.166
CompaniesLSE adds ex-SEC head Schapiro to board,0.076
"European shares fall on Chinese import data, SABMiller soars",0.353
"News FeedSchroders books solid earnings growth, several board changes",0.5
"Valeant, AstraZeneca strike psoriasis drug deal",0.23800000000000002
Barclays considers acquisition to help split off retail arm,0.252
CFTC fines Barclays $560000 for inaccurate swaps position reports,-0.732
Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,0.146
Tesco turnaround gathers pace under new CEO,0.426
