sentence,logit,prediction,sentiment_score
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,[0.9392088  0.00887355 0.05191765],positive,0.9303352
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",[0.9452566  0.01510751 0.0396359 ],positive,0.9301491
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",[0.9509631  0.01220369 0.03683319],positive,0.9387594
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,[0.9502832  0.02386798 0.02584885],positive,0.92641526
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",[0.9470152  0.02398547 0.02899932],positive,0.9230298
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,[0.92495626 0.00838768 0.06665597],positive,0.9165686
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",[0.9214332  0.01109416 0.06747261],positive,0.91033906
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",[0.843632   0.01164743 0.14472057],positive,0.8319846
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",[0.95686036 0.0175365  0.02560312],positive,0.93932384
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",[0.9594142  0.01447607 0.02610983],positive,0.9449381
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",[0.95470816 0.0156597  0.0296322 ],positive,0.93904847
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",[0.95272    0.01675469 0.0305254 ],positive,0.9359653
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",[0.923926   0.04371029 0.03236374],positive,0.8802157
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",[0.91025287 0.01104422 0.07870296],positive,0.89920866
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",[0.922974   0.00973205 0.06729398],positive,0.9132419
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",[0.9019704  0.00854673 0.08948293],positive,0.8934237
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",[0.9514809  0.01189594 0.03662311],positive,0.939585
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",[0.95060766 0.0168168  0.03257553],positive,0.93379086
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),[0.9576463  0.01678271 0.025571  ],positive,0.9408636
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",[0.9291379  0.01232369 0.05853848],positive,0.9168142
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,[0.9521997  0.01243653 0.03536379],positive,0.9397632
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",[0.94865394 0.01786522 0.03348082],positive,0.9307887
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",[0.95238805 0.01628254 0.03132945],positive,0.9361055
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",[0.9536481  0.01681743 0.02953448],positive,0.93683064
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",[0.95479214 0.01778793 0.02741992],positive,0.9370042
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",[0.9421684  0.01631027 0.04152127],positive,0.92585814
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",[0.9574077  0.01279342 0.02979898],positive,0.9446143
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",[0.8822575  0.0101959  0.10754656],positive,0.8720616
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,[0.9462045  0.02188287 0.03191266],positive,0.9243216
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",[0.9519822  0.01416522 0.03385258],positive,0.937817
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",[0.9360942  0.01294507 0.05096077],positive,0.92314917
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",[0.9531264  0.01096759 0.03590606],positive,0.94215876
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",[0.95473075 0.01636504 0.02890418],positive,0.9383657
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",[0.95592034 0.01389956 0.03018011],positive,0.9420208
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",[0.948242   0.02125045 0.03050746],positive,0.9269916
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",[0.8672034  0.00862924 0.12416732],positive,0.85857415
Sales have risen in other export markets .,[0.91858095 0.02145025 0.05996881],positive,0.8971307
Sales increased due to growing market rates and increased operations .,[0.90873814 0.00879651 0.08246534],positive,0.8999416
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,[0.9326301  0.01027179 0.05709808],positive,0.92235833
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,[0.9293246  0.00787147 0.06280399],positive,0.9214532
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",[0.95297    0.01938486 0.02764513],positive,0.93358517
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",[0.9405915  0.01067342 0.04873513],positive,0.9299181
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",[0.94060785 0.03913032 0.02026184],positive,0.9014775
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",[0.08897952 0.8882105  0.02280995],negative,-0.79923093
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",[0.9431195  0.02120105 0.03567945],positive,0.92191845
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,[0.93185955 0.02924097 0.03889951],positive,0.9026186
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",[0.9535708  0.01345976 0.03296946],positive,0.94011104
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",[0.8942224  0.07099514 0.03478249],positive,0.8232272
"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",[0.91532725 0.01087282 0.07379992],positive,0.9044544
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",[0.927239   0.01040671 0.06235433],positive,0.91683227
"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",[0.9404738  0.03395597 0.02557021],positive,0.9065178
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,[0.9495981  0.01132562 0.03907623],positive,0.9382725
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",[0.95239323 0.02056156 0.02704518],positive,0.93183166
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",[0.9521622  0.01175401 0.03608375],positive,0.94040823
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",[0.8564011  0.00716832 0.1364306 ],positive,0.8492328
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",[0.94228053 0.03955276 0.01816673],positive,0.9027278
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,[0.9509261  0.02530026 0.02377362],positive,0.92562586
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,[0.9514608  0.01306727 0.03547197],positive,0.93839353
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",[0.95120203 0.02589026 0.02290766],positive,0.9253118
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",[0.95236456 0.01605942 0.03157607],positive,0.93630517
Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,[0.95359963 0.01902354 0.02737687],positive,0.9345761
An individual promotion also generated slightly higher-than-expected revenues .,[0.8921572  0.02138472 0.08645814],positive,0.8707725
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,[0.9042279  0.0075221  0.08825007],positive,0.8967058
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",[0.9557762  0.02344038 0.02078342],positive,0.93233585
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,[0.91340727 0.00878444 0.07780837],positive,0.90462285
Clothing chain Sepp+ñl+ñ 's net sales increased by 7.0 % to EUR 30.8 mn .,[0.95575184 0.01468765 0.02956049],positive,0.9410642
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,[0.51387864 0.00866203 0.4774593 ],positive,0.5052166
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,[0.9086626  0.0088446  0.08249272],positive,0.899818
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",[0.9330807  0.00973152 0.05718772],positive,0.92334914
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",[0.9517725 0.0169557 0.0312718],positive,0.93481684
