sentence,logit,prediction,sentiment_score
Royal Mail chairman Donald Brydon set to step down,[0.02256383 0.27277648 0.70465964],neutral,-0.25021267
Stakes High for AstraZeneca Heart Drug Facing Tough Competition,[0.89434403 0.0214415  0.08421452],positive,0.8729025
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,[0.00887441 0.95446926 0.03665633],negative,-0.94559485
Insight hires Aviva's David Hillier for multi-asset team,[0.10246917 0.01388609 0.8836447 ],neutral,0.08858308
Primark racks up a happy Christmas after strong sales,[0.8914957  0.04365807 0.06484623],positive,0.8478376
UPDATE 1-Pearson expects to grow this year after solid end to 2014,[0.94850063 0.02048504 0.03101439],positive,0.9280156
Tesco sells Blinkbox and broadband service to TalkTalk,[0.08013029 0.00928582 0.91058385],neutral,0.07084447
Unilever profit rises despite sales slump in China,[0.9122833  0.06273925 0.02497739],positive,0.84954405
Tesco leads leap in FTSE 100; Marks & Spencer drops,[0.8159787  0.03855066 0.14547065],positive,0.77742803
Royal Dutch Shell profit rises; dividend up 4%,[0.9392809  0.0362895  0.02442957],positive,0.9029914
Morning Agenda: Shire's Deal for NPS,[0.11368114 0.01146249 0.8748564 ],neutral,0.10221865
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,[0.7735264  0.01761254 0.20886107],positive,0.75591385
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,[0.8227786  0.01250565 0.1647157 ],positive,0.81027293
Passengers rise at EasyJet and Aer Lingus,[0.7944378  0.0202419  0.18532024],positive,0.7741959
Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,[0.03290483 0.07894675 0.8881484 ],neutral,-0.046041917
"FDA approves NPS drug, in move validating Shire takeover deal",[0.7205972  0.03544253 0.2439603 ],positive,0.6851547
Ocwen Reaches Settlement With California Regulator,[0.7094159  0.12713033 0.16345379],positive,0.5822856
Morrisons faces festive sales test,[0.8520438  0.09525551 0.05270066],positive,0.7567883
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,[0.00968912 0.96655476 0.02375605],negative,-0.95686567
Shire to buy NPS for $5.2 billion to boost rare disease drugs,[0.5271213  0.01062887 0.46224982],positive,0.5164924
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,[0.8992157  0.00917639 0.09160783],positive,0.8900393
FDA approves Shire's Vyvanse for binge-eating disorder,[0.57042295 0.02116702 0.40841004],positive,0.5492559
Companies Thetrainline.com announces arrival of London IPO,[0.03293164 0.03154663 0.9355217 ],neutral,0.0013850182
Breakingviews: IAG can pay more for Aer Lingus,[0.19713494 0.00746788 0.7953972 ],neutral,0.18966706
Tesco share price jumps as Q3 sales top estimates,[0.5510733  0.39511532 0.05381135],positive,0.155958
CRH's concrete bid for Holcim Lafarge assets,[0.3970608  0.01028428 0.5926549 ],neutral,0.38677654
Persimmon share price climbs on 23% rise in full-year revenue,[0.9398168  0.03041203 0.02977129],positive,0.90940475
Ruling sets lower limit on potential fine for BP,[0.08015269 0.17070134 0.7491459 ],neutral,-0.09054865
Reed Elsevier share price slides on underwhelming full-year results,[0.01318058 0.9638243  0.02299515],negative,-0.9506437
UPDATE 1-Meggitt reiterates annual outlook after tough 2014,[0.05063235 0.09877484 0.85059285],neutral,-0.04814249
Slump in Weir leads FTSE down from record high,[0.01005067 0.96834743 0.02160191],negative,-0.9582968
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,[0.9421407  0.03012498 0.02773425],positive,0.91201574
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,[0.7086873  0.04732011 0.24399258],positive,0.6613672
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,[0.0805295  0.01079311 0.9086774 ],neutral,0.0697364
Meggitt share price tumbles as profit falls in 'challenging year',[0.00879772 0.97177964 0.01942262],negative,-0.96298194
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,[0.13547876 0.18691802 0.6776032 ],neutral,-0.051439255
ARM Royalties Accelerate as Smartphone Market Regains Strength,[0.94391996 0.01818799 0.03789201],positive,0.92573196
