sentence,logit,prediction,sentiment_score
Morrisons book second consecutive quarter of sales growth,[0.36101204 0.20786619 0.43112177],neutral,0.15314585
IMI posts drop in first-quarter organic revenue; warns on full year,[0.36636013 0.21971187 0.41392797],neutral,0.14664826
"Glencore to refinance its short-term debt early, shares rise",[0.35876256 0.20464988 0.43658754],neutral,0.15411268
EasyJet attracts more passengers in June but still lags Ryanair,[0.36093348 0.2072076  0.4318589 ],neutral,0.15372588
Barclays 'bad bank' chief to step down,[0.3578402  0.20319195 0.4389678 ],neutral,0.15464826
Bilfinger Industrial Services win Â£100m BP contract extension,[0.35453647 0.19688913 0.44857442],neutral,0.15764734
Bilfinger Industrial Services win Â£100m BP contract extension,[0.35453647 0.19688913 0.44857442],neutral,0.15764734
Barclays share price subdued as bank faces fresh forex probe,[0.35501644 0.19545315 0.44953042],neutral,0.15956329
Centrica prepared for takeover approach - chairman,[0.34289485 0.21000415 0.44710094],neutral,0.1328907
Jim Armitage: Spare no tears as Glencore's bosses are paying such a small price,[0.36756077 0.2212971  0.41114217],neutral,0.14626367
"Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder",[0.36993363 0.21054877 0.41951767],neutral,0.15938486
Kingfisher set to open another 200 Screwfix stores,[0.35929877 0.19909425 0.44160703],neutral,0.16020451
Diageo sales disappoint as currency and comparatives leave bitter taste,[0.35601622 0.19875191 0.44523185],neutral,0.1572643
Smith & Nephew recalls hip-replacement components,[0.36994416 0.2124555  0.4176004 ],neutral,0.15748866
Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers,[0.36166057 0.19921927 0.4391202 ],neutral,0.1624413
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,[0.34956545 0.20488223 0.4455523 ],neutral,0.14468321
Here's my 10-point plan to make Tesco great again,[0.37018222 0.21240984 0.417408  ],neutral,0.15777238
"Schroders posts FY profit beat, replaces CEO and chairman in board shake-up",[0.35688752 0.2154278  0.42768472],neutral,0.14145972
BP Seeks to Get Back Some Gulf Oil Spill Business Payouts,[0.35946298 0.20845488 0.4320822 ],neutral,0.1510081
"Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?",[0.35630298 0.2051177  0.4385793 ],neutral,0.15118527
"UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs",[0.36440808 0.21006902 0.42552292],neutral,0.15433906
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,[0.3612441  0.20806195 0.43069398],neutral,0.15318216
"L&G still paying price for dividend cut during crisis, chief says",[0.34794784 0.2040322  0.44801998],neutral,0.14391564
