sentence,logit,prediction,sentiment_score
US exchanges are suspending or delisting XRP left and right. Binance.US and eToro are the latest exchanges to discontinue XRP trading in America as Ripple faces the SEC's enforcement hammer.,[0.3464671  0.23018813 0.42334482],neutral,0.116278976
Top 10 crypto and blockchain stories of 2020. Corporations and institutional investors seeking an alternate store of value amid the pandemic crisis drove crypto to new heights in 2020.,[0.36349684 0.23888502 0.39761811],neutral,0.124611825
"Bitcoin, stablecoins and DeFi: 2020’s top-performing crypto assets. 2020 may have been filled with challenges, but Bitcoin, stablecoins and DeFi protocols are the clear top performing crypto assets for the year.",[0.36578202 0.23976937 0.39444864],neutral,0.12601265
SEC lawsuit against Ripple set for virtual pretrial conference in February. The SEC’s case against Ripple for selling XRP as an unlicensed security will begin with a pretrial in February 2021.,[0.3620301  0.2422234  0.39574647],neutral,0.11980669
Ripple vows to respond to SEC ‘attack’ amid exchange delistings of XRP. Ripple issued a statement on Tuesday urging market participants to hear its side of the story amid the ongoing SEC saga.,[0.34929472 0.23282301 0.41788223],neutral,0.11647171
How low can XRP go? Watch these price levels next. XRP price hit new monthly lows after Coinbase revealed it will delist the token in January.,[0.3565118  0.23620328 0.40728492],neutral,0.12030852
"Bitcoin price rally cools down as Polkadot gains 34% in first week of ‘altseason’. Bitcoin dominance is likely topping out, Michaël van de Poppe argues, as Bitcoin gives way to strong moves from some top 10 altcoins.",[0.35306635 0.23745285 0.40948078],neutral,0.115613505
"XRP price faces a rocky road to recovery ahead of SEC’s Ripple lawsuit. Though Ripple CEO Brad Garlinghouse is prepared to challenge the SEC over its lawsuit, the knock may be hard to come back from.",[0.3592931  0.24257989 0.398127  ],neutral,0.11671321
SEC vs. Ripple: A predictable but undesirable development. Such regulation by enforcement does indeed run the risk of stifling important and valuable innovation in the crypto space.,[0.35086423 0.24334349 0.4057923 ],neutral,0.107520744
"2021 price outlook: BTC, ETH, XRP, LTC, BCH, LINK, ADA, BNB, DOT, XLM. Bitcoin price remains in a strong uptrend and this presents a rosy outlook for BTC and many altcoins.",[0.35194758 0.23675923 0.41129318],neutral,0.115188345
XRP price just surged 40% in a surprise relief rally — Here’s why. XRP price rose 40% in a single day as liquidations across futures exchanges topped $73.5 million.,[0.34979942 0.2303585  0.4198421 ],neutral,0.11944093
3 reasons why XRP price can continue to fall after a 63% crash in four days. XRP price dropped to as low as $0.2138 on Binance as three key factors pushed the cryptocurrency down.,[0.35005578 0.23494564 0.4149986 ],neutral,0.115110144
"MoneyGram distances itself from Ripple, says it doesn't utilize RippleNet. MoneyGram sheds light on the nature of its partnership with Ripple.",[0.35624054 0.24911343 0.394646  ],neutral,0.107127115
Bitwise dumps XRP investment amid SEC lawsuit against Ripple. The Bitwise 10 Crypto Index Fund has liquidated its XRP holdings.,[0.352881   0.24374643 0.40337262],neutral,0.109134585
XRP price falls 24% in 24 hours as exchanges begin delisting. Several exchanges have already halted XRP trading after the SEC's lawsuit against Ripple was revealed.,[0.35926437 0.24264523 0.39809036],neutral,0.11661914
Ripple CEO Garlinghouse responds to SEC complaint against XRP. Ripple CEO assures shareholders and the industry that the company will win the case brought by the the United States SEC.,[0.35657912 0.24380507 0.39961582],neutral,0.11277406
Don't expect Coin Center to stick up for XRP in the face of the SEC. The D.C.-based think tank doesn’t view XRP in the same light as Bitcoin or Ethereum.,[0.35807374 0.24411479 0.39781144],neutral,0.113958955
XRP‌ ‌price plunges‌ ‌21%‌ ‌in‌ ‌two days as SEC targets Ripple — What’s‌ ‌next?‌ ‌. The XRP price correction is exacerbated by reports of a looming lawsuit against Ripple.,[0.35372376 0.23953393 0.4067423 ],neutral,0.11418983
"SEC set to sue Ripple with XRP in the crosshairs. Despite the company's protestations, it appears the SEC is the latest in a long line of plaintiffs.",[0.356882   0.24302733 0.40009066],neutral,0.11385468
