title,sentence,date
US exchanges are suspending or delisting XRP left and right,Binance.US and eToro are the latest exchanges to discontinue XRP trading in America as Ripple faces the SEC's enforcement hammer.,2020-12-31
Top 10 crypto and blockchain stories of 2020,Corporations and institutional investors seeking an alternate store of value amid the pandemic crisis drove crypto to new heights in 2020.,2020-12-31
"Bitcoin, stablecoins and DeFi: 2020’s top-performing crypto assets","2020 may have been filled with challenges, but Bitcoin, stablecoins and DeFi protocols are the clear top performing crypto assets for the year.",2020-12-30
SEC lawsuit against Ripple set for virtual pretrial conference in February,The SEC’s case against Ripple for selling XRP as an unlicensed security will begin with a pretrial in February 2021.,2020-12-30
Ripple vows to respond to SEC ‘attack’ amid exchange delistings of XRP,Ripple issued a statement on Tuesday urging market participants to hear its side of the story amid the ongoing SEC saga.,2020-12-29
How low can XRP go? Watch these price levels next,XRP price hit new monthly lows after Coinbase revealed it will delist the token in January.,2020-12-29
Bitcoin price rally cools down as Polkadot gains 34% in first week of ‘altseason’,"Bitcoin dominance is likely topping out, Michaël van de Poppe argues, as Bitcoin gives way to strong moves from some top 10 altcoins.",2020-12-29
XRP price faces a rocky road to recovery ahead of SEC’s Ripple lawsuit,"Though Ripple CEO Brad Garlinghouse is prepared to challenge the SEC over its lawsuit, the knock may be hard to come back from.",2020-12-29
SEC vs. Ripple: A predictable but undesirable development,Such regulation by enforcement does indeed run the risk of stifling important and valuable innovation in the crypto space.,2020-12-28
"2021 price outlook: BTC, ETH, XRP, LTC, BCH, LINK, ADA, BNB, DOT, XLM",Bitcoin price remains in a strong uptrend and this presents a rosy outlook for BTC and many altcoins.,2020-12-27
XRP price just surged 40% in a surprise relief rally — Here’s why,XRP price rose 40% in a single day as liquidations across futures exchanges topped $73.5 million.,2020-12-25
3 reasons why XRP price can continue to fall after a 63% crash in four days,XRP price dropped to as low as $0.2138 on Binance as three key factors pushed the cryptocurrency down.,2020-12-24
"MoneyGram distances itself from Ripple, says it doesn't utilize RippleNet",MoneyGram sheds light on the nature of its partnership with Ripple.,2020-12-24
Bitwise dumps XRP investment amid SEC lawsuit against Ripple,The Bitwise 10 Crypto Index Fund has liquidated its XRP holdings.,2020-12-24
XRP price falls 24% in 24 hours as exchanges begin delisting,Several exchanges have already halted XRP trading after the SEC's lawsuit against Ripple was revealed.,2020-12-23
Ripple CEO Garlinghouse responds to SEC complaint against XRP,Ripple CEO assures shareholders and the industry that the company will win the case brought by the the United States SEC.,2020-12-23
Don't expect Coin Center to stick up for XRP in the face of the SEC,The D.C.-based think tank doesn’t view XRP in the same light as Bitcoin or Ethereum.,2020-12-23
XRP‌ ‌price plunges‌ ‌21%‌ ‌in‌ ‌two days as SEC targets Ripple — What’s‌ ‌next?‌ ‌,The XRP price correction is exacerbated by reports of a looming lawsuit against Ripple.,2020-12-22
SEC set to sue Ripple with XRP in the crosshairs,"Despite the company's protestations, it appears the SEC is the latest in a long line of plaintiffs.",2020-12-22
XRP price still stagnant despite incoming Flare Network airdrop,"Despite the snapshot on Dec. 12 for the upcoming FLR airdrop event, XRP’s value has not gained much ground, staying put at around $0.50.",2020-12-15
XRP price drops 13% since Flare Network airdrop — But the bottom may be close,"XRP price fails to sustain momentum and slides below $0.50 despite BTC recovering above $19,000.",2020-12-14
XRP price action imminent? A closer look at the market’s #3 crypto,"The $1 price mark remains a psychological barrier for XRP, with the third-ranked crypto by market capitalization still 85% off its all-time high price.",2020-12-11
"Why XRP, DeFi tokens crashed the most vs. BTC as Bitcoin price corrects","As Bitcoin dropped below $18,000, major altcoins including XRP and DeFi tokens fell by 10% to 30%.",2020-12-09
XRP price: Will the Flare Network airdrop trigger a rally to $1.00?,XRP has broken out of a multi-year bear market but old resistance zones must now flip to new support for the rally to continue.,2020-12-05
Ripple has sold $15M of its stock in MoneyGram,"Ripple's partnership with MoneyGram may not be as warm as it once was, but it's paying off.",2020-12-05
Ripple CTO says community could force the company to burn 48 billion XRP,"Ripple could be forced to burn its entire XRP holdings if the community votes for it, the company’s CTO David Schwartz has confirmed.",2020-12-04
"95% of Ripple’s customers are not from the US, CEO Garlinghouse says",Potential customers in the U.S. are apparently holding off from using Ripple’s XRP-related services due to regulatory uncertainty.,2020-12-03
"Ripple’s XRP sees explosive 1,151% trading volume spike in November","XRP saw a 1,151% surge in trading volume on eToro as its price nearly tripled last month.",2020-12-02
"XRP price now eyeing $1.00 after key support level holds, BTC price soars",XRP price must break a key resistance level before $1.00 becomes a real possibility.,2020-12-01
Garlinghouse: Ripple would still thrive even if XRP were declared a security,"The CEO thinks his company will be just fine, even in this hypothetical scenario.",2020-11-27
"Price analysis 11/25: BTC, ETH, XRP, BCH, LINK, LTC, ADA, DOT, BNB, XLM",Bitcoin and most major altcoins could consolidate for a few days before starting the next big move.,2020-11-26
"Bitcoin price, altcoins and the Dow set record highs as bulls run the market","Bitcoin topping $19,400, altcoins rallying by triple digits and the Dow setting an all-time high at 30,000 show bulls are running all corners of every market.",2020-11-25
These 5 altcoins are beating every major cryptocurrency this week,"XRP, Stellar and Cardano are some of the cryptocurrencies spearheading the rally as traders herald ""alt season.""",2020-11-24
Bitcoin price now eyeing $20K after XRP shocked the crypto market,"Bitcoin reached $19,000 quickly after it plunged to $18,000 following an XRP flash crash on Coinbase.",2020-11-24
"XRP price spikes to $0.90, crashes in seconds as Coinbase goes down","The price of XRP soared to as high as $0.92 in mere minutes on Coinbase, only to crash by 30% immediately after.",2020-11-24
XRP price rallies 91% in a month due to 3 fundamental factors,XRP price rallied 91% in the past month and data shows these three fundamental factors may be behind the break above the current multi-year range.,2020-11-24
XRP shot up 20% today… on old news?,XRP has almost doubled its value over the past week.,2020-11-24
Ripple seeks director to engage with central banks on digital currency,Ripple is looking to define its strategy regarding central bank digital currencies.,2020-11-23
XRP price soars 50% in one week to new yearly high — Watch these levels next,XRP price has been the best performer thus far this weekend gaining over 50% in the past week.,2020-11-22
Ripple’s Brad Garlinghouse wants Bitcoin to succeed after all,He clarified that Ripple isn’t trying to compete with Bitcoin during a podcast appearance.,2020-11-20
Ripple files for yet another new trademark in the US,Ripple’s new filing with the USPTO is for the trademark “PayString.”,2020-11-13
The Bitcoin price has only been higher than now for 12 days in its history,"Bitcoin’s explosive gains are strongly reflected by the number of days it has closed above $16,320.",2020-11-13
"SEC should declare XRP a security, says Peter Brandt",Could XRP’s regulatory status be finally settled one day?,2020-11-11
Ledger owners lose 1.1 million XRP to scam site,"After a major leak of email and personal information earlier this year, Ledger customers are experiencing a surge in phishing attempts.",2020-11-06
"Price analysis 11/2: BTC, ETH, XRP, BCH, LINK, BNB, LTC, DOT, BSV, ADA","Bitcoin is facing selling at the $14,000 mark and this has resulted in several cryptocurrencies dropping below their support levels.",2020-11-03
Ripple CTO tries to offer answers for lack of adoption,"Community expectations have long been that banks would adopt XRP, but the reality has been disappointing",2020-11-02
Bitcoin breaks above $12.3K after PayPal says Venmo will become a BTC wallet,"The long-awaited “flippening” of fiat at PayPal will begin next year, as Bitcoin price action offers almost 5% daily gains.",2020-10-21
Ripple donates $10M to Mercy Corps during annual Swell conference,Ripple continues its effort to bring financial inclusion to struggling markets.,2020-10-16
"Price analysis 10/14: BTC, ETH, XRP, BCH, BNB, LINK, DOT, ADA, LTC, BSV","Bitcoin and most major altcoins are sustaining above their immediate support levels, increasing the possibility that the uptrend will resume.",2020-10-15
"Regrets — Ripple’s CTO sold 40,000 Ether for just $1 each","Ripple’s David Schwartz has revealed that he sold 40,000 Ether at $1 each.",2020-10-13
"Price analysis 10/12: BTC, ETH, XRP, BCH, BNB, LINK, DOT, ADA, LTC, CRO","Bitcoin’s strength above the $11,500 multi-year resistance is also pulling many altcoin prices higher.",2020-10-13
"Top 5 cryptocurrencies to watch this week: BTC, XRP, ADA, XMR, ATOM",Bitcoin price could achieve a new 2020 high if bulls hold the price above the key multi-year resistance at $11.5K.,2020-10-12
"Price analysis 10/9: BTC, ETH, XRP, BCH, BNB, DOT, LINK, CRO, LTC, BSV","Bitcoin and select altcoins have broken out of their bullish setups, hinting that further upside could occur through the weekend.",2020-10-10
Community reacts to new DoJ crypto enforcement guidelines,"The DoJ’s guidance around cryptocurrency enforcement, that cites ""crime"" and ""criminals"" 168 times, has been poorly received.",2020-10-09
"Price analysis 10/7: BTC, ETH, XRP, BCH, BNB, DOT, LINK, LTC, CRO, BSV",Bitcoin and altcoins could remain range-bound for a few days as traders search for triggers that will start the next trending move.,2020-10-08
US is losing 'tech cold war with China' says Ripple co-founder,Ripple’s executive chairman has slammed U.S. lawmakers for losing the blockchain arms race to China,2020-10-07
"Price analysis 10/5: BTC, ETH, XRP, BNB, BCH, DOT, LINK, CRO, LTC, ADA",Traders are attempting to kickstart a new trending move in Bitcoin and altcoins by attacking overhead resistance levels.,2020-10-06
"XRP Ledger blockchain energizes decarbonization, but tokenization a challenge","A new blockchain platform aims to get decentralized networks to decarbonize, but challenges remain, due to uncertainty around tokenization",2020-10-03
"Price analysis 10/2: BTC, ETH, XRP, BCH, BNB, DOT, LINK, CRO, BSV, LTC","The bulls are buying the dips in Bitcoin and a few altcoins, suggesting that investor sentiment remains positive.",2020-10-03
Japanese esports company to pay its players in XRP,"Will this ultimately prove to be a significant step for mainstream adoption, or a publicity stunt?",2020-10-01
"Price analysis 9/30: BTC, ETH, XRP, BCH, BNB, DOT, LINK, BSV, CRO, ADA","Bitcoin and a few altcoins continue to push against resistance at higher levels, suggesting that the uptrend may resume soon.",2020-10-01
"Price analysis 9/28: BTC, ETH, XRP, BCH, BNB, DOT, LINK, ADA, BSV, CRO","Bitcoin and altcoins may hit a few roadblocks in the short-term as they near stiff overhead resistance levels, but the overall trajectory remains bullish.",2020-09-29
"Price analysis 9/25: BTC, ETH, XRP, BCH, DOT, LINK, BNB, CRO, LTC, BSV","Bitcoin and altcoins rebounded off their critical support levels, possibly creating a path to a new bullish uptrend.",2020-09-26
Bitcoin bull Tim Draper reveals the secrets of his altcoin portfolio,"Tech billionaire, Tim Draper, has revealed he owns a myriad of altcoins in addition to his 30,000 BTC.",2020-09-24
"Price analysis 9/23: BTC, ETH, XRP, BCH, DOT, BNB, CRO, LTC, LINK, BSV",Bitcoin and altcoins are at risk of a deeper correction if they do not rise above their immediate resistance levels soon.,2020-09-24
"Price analysis 9/21: BTC, ETH, XRP, BCH, DOT, BNB, LINK, CRO, LTC, BSV",The market has taken a bearish turn and Bitcoin and altcoins will need strong relief rallies in order to restore their uptrends.,2020-09-22
"Price analysis 9/18: BTC, ETH, XRP, DOT, BCH, BNB, LINK, CRO, LTC, BSV","Bitcoin and altcoins are facing selling near key resistance levels, but for now the possibility of a sharp fall remains low.",2020-09-19
"Price analysis 9/16: BTC, ETH, XRP, DOT, BCH, BNB, LINK, CRO, LTC, BSV","Bitcoin and a few altcoins have broken above key resistance levels, which suggests that the bulls are attempting to take control of the market.",2020-09-17
"Price analysis 9/14: BTC, ETH, XRP, BNB, DOT, LINK, BCH, CRO, LTC, BSV",Bitcoin and several altcoins are trying to break out of their respective overhead resistance levels in order to restore bullish momentum.,2020-09-15
"Price analysis 9/11: BTC, ETH, XRP, LINK, BCH, DOT, BNB, LTC, CRO, BSV","Although Bitcoin price is range-bound, a few altcoins have started a relief rally which could push them above key resistance levels.",2020-09-12
"Price analysis 9/9: BTC, ETH, XRP, LINK, BCH, DOT, BNB, BSV, LTC, CRO",If the bulls can find momentum from the current bounce in Bitcoin and altcoins a short-term bottom may be in place.,2020-09-10
DeFi boom leaves former altcoin darlings in the dust — But for how long?,The strong performance from DeFi tokens has far eclipsed that of many top-10 altcoins but how long can this trend last?,2020-09-08
"Price analysis 9/7: BTC, ETH, XRP, LINK, BCH, DOT, BSV, BNB, LTC, CRO",Bitcoin and altcoins could consolidate in a tight range for a few days before making the next decisive move.,2020-09-08
"Price analysis 9/4: BTC, ETH, XRP, LINK, BCH, DOT, LTC, CRO, BNB, BSV",A dead cat bounce from Bitcoin and altcoins’ critical support levels may attract further selling that could result in lower levels over the next few days.,2020-09-05
SBI Holdings to set up blockchain-based digital stock exchange in Osaka,Ripple’s Japanese partner wants to lead financial innovation in the country.,2020-09-04
"Price analysis 9/2: BTC, ETH, XRP, LINK, BCH, LTC, BNB, CRO, BSV, ADA",If the bearish patterns on Bitcoin and altcoins complete the current correction could see prices drop to new lows.,2020-09-03
Tether surpasses XRP by market cap again,But XRP isn’t competing with Tether.,2020-09-01
"Price analysis 8/31: BTC, ETH, XRP, LINK, BCH, LTC, BSV, CRO, BNB, EOS","Bitcoin and altcoins have bounced off their range lows, but they are likely to encounter resistance at higher levels.",2020-09-01
"Price analysis 8/28: BTC, ETH, XRP, LINK, BCH, LTC, BSV, CRO, BNB, EOS","Bitcoin and altcoins are holding key support levels, suggesting bulls will try to break above overhead resistance levels soon.",2020-08-29
"Japanese financial giant SBI to launch CFDs for Bitcoin, Ether and XRP",A forex exchange in Japan will start crypto CFD trading soon.,2020-08-28
Flare proposes new bridge to allow XRP to be used on Ethereum,The Flare Network plans to build a new two-way bridge connecting XRP to the Ethereum ecosystem.,2020-08-27
"Price analysis 8/26: BTC, ETH, XRP, LINK, BCH, LTC, BSV, CRO, BNB, ADA",Bitcoin and altcoins are likely to remain range-bound in the short-term as the bulls and the bears attempt to assert their dominance.,2020-08-27
Ripple filed four US trademark applications this month,This is how Ripple’s next product might be called.,2020-08-26
Ripple faces lawsuit in Australia over ‘PayID’ branding,The operator of Australia’s ‘PayID’ payments network is suing Ripple Labs over its use of ‘PayID’ branding.,2020-08-26
"Price analysis 8/24: BTC, ETH, XRP, BCH, LINK, LTC, BSV, CRO, BNB, ADA","The bulls are aggressively defending the 20-day EMA in Bitcoin and select altcoins, which could result in the resumption of the uptrend.",2020-08-25
Youtuber Explains How Crypto Scammers Took Control of His Account,It’s not your traditional malware scam.,2020-08-23
"Price Analysis 8/21: BTC, ETH, XRP, BCH, LINK, LTC, BSV, ADA, BNB, CRO","Bitcoin and several altcoins have formed bearish divergences, which suggests that the bullish momentum has weakened.",2020-08-22
"XRP Is Not a Security, Argues US Congressman Tom Emmer","The asset still has no official distinction, however.",2020-08-22
"Price Analysis 8/19: BTC, ETH, XRP, LINK, BCH, LTC, BSV, ADA, BNB, EOS",Bitcoin and the altcoins continue to correct but lower levels are likely to attract buyers as the bullish macro trend has not changed.,2020-08-20
"XRP Isn’t Competing With Stablecoins and CBDCs, Says Ripple Exec","XRP contributes to the development of CBDCs and stablecoins, says key exec.",2020-08-19
"Price Analysis 8/17: BTC, ETH, XRP, LINK, BCH, LTC, BSV, ADA, EOS, BNB","Bitcoin’s strong move above the $12,200 resistance could boost sentiment and lead to a stronger rally in select altcoins.",2020-08-18
"Price Analysis 8/14: BTC, ETH, XRP, LINK, BCH, BSV, LTC, ADA, BNB, CRO",Traders have turned bullish on Ethereum again and the strong break above $400 could pull Bitcoin and other altcoins higher.,2020-08-15
"Ripple CEO Fires Back at NYT Reporter, ‘Ripple Has No Plans to Reset Our Strategy’",Ripple CEO Brad Garlinghouse says the network is working as planned.,2020-08-14
Why Santander Doesn’t Want to Use Ripple for International Payments Yet,There may be trouble in paradise with one of Ripple’s major partners.,2020-08-14
Ripple Aims to Become the Amazon of the Cryptocurrency World,Ripple is working to explore new use cases for its blockchain network.,2020-08-13
"Price Analysis 8/12: BTC, ETH, XRP, LINK, BCH, BSV, LTC, ADA, XTZ, BNB","As Bitcoin price slowly regains momentum, many altcoins have been rewarding traders by rallying to new all-time highs.",2020-08-13
"Price Analysis 8/10: BTC, ETH, XRP, BCH, LINK, BSV, LTC, ADA, BNB, CRO","Bitcoin price continues to decline at $12,000, but altcoins have taken advantage of the range-bound action by rallying higher.",2020-08-11
"Price Analysis 8/7: BTC, ETH, XRP, BCH, BSV, LTC, ADA, LINK, BNB, CRO",Bitcoin and altcoins might consolidate or correct marginally for a few days before a possible breakout to the upside.,2020-08-08
"Price Analysis 8/5: BTC, ETH, XRP, BCH, BSV, LTC, ADA, BNB, LINK, CRO","If Bitcoin can reclaim the $12,200 level, several altcoins are likely to resume their uptrend.",2020-08-06
Do You Know The Most Valuable Blockchain Companies?,Ripple ranks the highest amongst companies in the Blockchain sector according to the latest annual ranking from Hurun.,2020-08-05
"World Gov’ts Eye Blockchain as Dollar’s Power Wanes, Says Ripple CEO","Blockchain is offering global governments a serious alternative to a strained financial system, Ripple CEO Brad Garlinghouse says.",2020-08-04
Ripple Q2 2020 Report: XRP Sales Increased 19-Fold,"The XRP Markets Report shows Ripplenet’s On-Demand Liquidity network experienced 11x growth compared to 2019, while XRP sales surged in Q2.",2020-08-04
"Price Analysis 8/3: BTC, ETH, XRP, BCH, BSV, LTC, ADA, CRO, BNB, LINK",The strong recovery in Bitcoin and altcoins from their weekend lows suggests that the traders are aggressively buying each dip.,2020-08-04
XRP Price Gains 40% in One Week But Can It Continue Rally to $0.50?,XRP price has broken through several key resistance levels including $0.30 as it tries to catch up to Bitcoin with its own impressive gains.,2020-08-03
"Price Analysis 7/31: BTC, ETH, XRP, BCH, BSV, LTC, ADA,CRO, BNB, EOS",Bitcoin finally broke through the $11.2K resistance and Ethereum’s continued strength is likely to pull several altcoin prices higher.,2020-08-01
