sentence,logit,prediction,sentiment_score
Kingfisher set to open another 200 Screwfix stores,[0.17884924 0.00866222 0.81248856],neutral,0.17018701
Diageo sales disappoint as currency and comparatives leave bitter taste,[0.01878349 0.9660333  0.01518322],negative,-0.94724977
Smith & Nephew recalls hip-replacement components,[0.04625071 0.4714962  0.48225313],neutral,-0.4252455
Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers,[0.01153036 0.9488587  0.03961099],negative,-0.93732834
"UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs",[0.01635365 0.96474797 0.01889842],negative,-0.9483943
Britain's FTSE lifted by solid Kingfisher,[0.4525368  0.05230609 0.49515703],neutral,0.4002307
"Barclays, Credit Suisse strike record deals with SEC, NY over dark pools",[0.767431   0.06582344 0.16674554],positive,0.7016076
"BHP Billiton posts big loss, slashes dividend",[0.01057695 0.9636067  0.02581626],negative,-0.95302975
Reaching New Depths: Glencore's $5bn Loss,[0.13556983 0.05541975 0.80901045],neutral,0.080150075
UPDATE 2-EasyJet sees better first half on lower fuel bill,[0.9406448  0.03939189 0.01996337],positive,0.9012529
News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,[0.4997626  0.06384602 0.4363914 ],positive,0.43591657
Landlord Hammerson's NAV rises on increased leasing activity,[0.84518117 0.12579955 0.02901932],positive,0.71938163
WPP Q1 Revenue Rises Over 8% - Quick Facts,[0.9499664  0.02179882 0.02823475],positive,0.9281675
RBS and Barclays shares temporarily suspended amid heavily losses,[0.01038634 0.90912753 0.08048611],negative,-0.8987412
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,[0.00887441 0.95446926 0.03665633],negative,-0.94559485
World's banks may halve jobs and branches within 10 years - Barclays ex-boss,[0.02304093 0.8665077  0.11045139],negative,-0.84346676
Severn Trent share price rises as first half profit inches up as customer ...,[0.94205576 0.0343323  0.02361194],positive,0.9077235
Aviva suspends trading in Â£1.8bn UK property fund,[0.00849446 0.94005805 0.05144756],negative,-0.9315636
HSBC Hit by Fresh Details of Tax Evasion Claims,[0.03487761 0.85813606 0.10698626],negative,-0.82325846
News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,[0.4997626  0.06384601 0.43639138],positive,0.4359166
Sale of Tesco's Clubcard business to WPP on the verge of collapse,[0.01972006 0.19396208 0.7863179 ],neutral,-0.17424202
