sentence,logit,prediction,sentiment_score
Binance.US and eToro are the latest exchanges to discontinue XRP trading in America as Ripple faces the SEC's enforcement hammer.,[0.58661544 0.19265033 0.22073421],positive,0.39396513
Corporations and institutional investors seeking an alternate store of value amid the pandemic crisis drove crypto to new heights in 2020.,[0.5903112  0.18687904 0.22280972],positive,0.4034322
"2020 may have been filled with challenges, but Bitcoin, stablecoins and DeFi protocols are the clear top performing crypto assets for the year.",[0.5792787  0.19432226 0.22639905],positive,0.38495645
The SEC’s case against Ripple for selling XRP as an unlicensed security will begin with a pretrial in February 2021.,[0.5880304  0.18997373 0.22199586],positive,0.3980567
Ripple issued a statement on Tuesday urging market participants to hear its side of the story amid the ongoing SEC saga.,[0.59538    0.18522924 0.21939076],positive,0.41015077
XRP price hit new monthly lows after Coinbase revealed it will delist the token in January.,[0.59486043 0.18964535 0.21549425],positive,0.40521508
"Bitcoin dominance is likely topping out, Michaël van de Poppe argues, as Bitcoin gives way to strong moves from some top 10 altcoins.",[0.593085   0.18891844 0.21799661],positive,0.40416655
"Though Ripple CEO Brad Garlinghouse is prepared to challenge the SEC over its lawsuit, the knock may be hard to come back from.",[0.5861862  0.19130093 0.22251293],positive,0.39488524
Such regulation by enforcement does indeed run the risk of stifling important and valuable innovation in the crypto space.,[0.58908087 0.18873419 0.22218494],positive,0.4003467
Bitcoin price remains in a strong uptrend and this presents a rosy outlook for BTC and many altcoins.,[0.5883741  0.18985939 0.22176662],positive,0.3985147
XRP price rose 40% in a single day as liquidations across futures exchanges topped $73.5 million.,[0.59478945 0.1879505  0.21726006],positive,0.40683895
XRP price dropped to as low as $0.2138 on Binance as three key factors pushed the cryptocurrency down.,[0.5931603  0.18662407 0.2202157 ],positive,0.40653622
MoneyGram sheds light on the nature of its partnership with Ripple.,[0.5862287  0.19195642 0.22181483],positive,0.39427233
The Bitwise 10 Crypto Index Fund has liquidated its XRP holdings.,[0.585742   0.19060482 0.2236532 ],positive,0.3951372
Several exchanges have already halted XRP trading after the SEC's lawsuit against Ripple was revealed.,[0.5894139  0.18938984 0.22119635],positive,0.40002406
Ripple CEO assures shareholders and the industry that the company will win the case brought by the the United States SEC.,[0.58678377 0.19136149 0.22185482],positive,0.39542228
The D.C.-based think tank doesn’t view XRP in the same light as Bitcoin or Ethereum.,[0.58314097 0.18971032 0.22714865],positive,0.39343065
The XRP price correction is exacerbated by reports of a looming lawsuit against Ripple.,[0.59103256 0.18973444 0.21923299],positive,0.4012981
"Despite the company's protestations, it appears the SEC is the latest in a long line of plaintiffs.",[0.5853335  0.19274098 0.22192551],positive,0.39259255
"Despite the snapshot on Dec. 12 for the upcoming FLR airdrop event, XRP’s value has not gained much ground, staying put at around $0.50.",[0.59573746 0.18740898 0.21685353],positive,0.40832847
"XRP price fails to sustain momentum and slides below $0.50 despite BTC recovering above $19,000.",[0.5854585  0.19121069 0.22333087],positive,0.39424783
"The $1 price mark remains a psychological barrier for XRP, with the third-ranked crypto by market capitalization still 85% off its all-time high price.",[0.5913972  0.18717955 0.2214232 ],positive,0.40421766
"As Bitcoin dropped below $18,000, major altcoins including XRP and DeFi tokens fell by 10% to 30%.",[0.5808156  0.19324073 0.22594367],positive,0.38757488
XRP has broken out of a multi-year bear market but old resistance zones must now flip to new support for the rally to continue.,[0.5958422  0.18857928 0.21557859],positive,0.40726292
"Ripple's partnership with MoneyGram may not be as warm as it once was, but it's paying off.",[0.57964706 0.19292487 0.22742802],positive,0.3867222
"Ripple could be forced to burn its entire XRP holdings if the community votes for it, the company’s CTO David Schwartz has confirmed.",[0.5898154  0.18741366 0.22277091],positive,0.40240172
Potential customers in the U.S. are apparently holding off from using Ripple’s XRP-related services due to regulatory uncertainty.,[0.58925325 0.19023585 0.22051091],positive,0.3990174
"XRP saw a 1,151% surge in trading volume on eToro as its price nearly tripled last month.",[0.59534764 0.18635982 0.21829249],positive,0.40898782
XRP price must break a key resistance level before $1.00 becomes a real possibility.,[0.59028286 0.187265   0.2224522 ],positive,0.40301788
"The CEO thinks his company will be just fine, even in this hypothetical scenario.",[0.5827657  0.19054787 0.22668646],positive,0.39221781
Bitcoin and most major altcoins could consolidate for a few days before starting the next big move.,[0.5890124  0.18687893 0.22410871],positive,0.40213346
"Bitcoin topping $19,400, altcoins rallying by triple digits and the Dow setting an all-time high at 30,000 show bulls are running all corners of every market.",[0.58036226 0.1920746  0.2275631 ],positive,0.38828766
"XRP, Stellar and Cardano are some of the cryptocurrencies spearheading the rally as traders herald ""alt season.""",[0.59022063 0.1870099  0.2227695 ],positive,0.40321073
"Bitcoin reached $19,000 quickly after it plunged to $18,000 following an XRP flash crash on Coinbase.",[0.59707266 0.18435441 0.21857296],positive,0.41271824
