sentence,logit,prediction,sentiment_score
US exchanges are suspending or delisting XRP left and right. Binance.US and eToro are the latest exchanges to discontinue XRP trading in America as Ripple faces the SEC's enforcement hammer.,[0.02714345 0.64285505 0.3300015 ],negative,-0.61571157
Top 10 crypto and blockchain stories of 2020. Corporations and institutional investors seeking an alternate store of value amid the pandemic crisis drove crypto to new heights in 2020.,[0.7825911  0.02201439 0.19539444],positive,0.7605767
"Bitcoin, stablecoins and DeFi: 2020’s top-performing crypto assets. 2020 may have been filled with challenges, but Bitcoin, stablecoins and DeFi protocols are the clear top performing crypto assets for the year.",[0.60090446 0.02696655 0.37212896],positive,0.5739379
SEC lawsuit against Ripple set for virtual pretrial conference in February. The SEC’s case against Ripple for selling XRP as an unlicensed security will begin with a pretrial in February 2021.,[0.03781129 0.20841828 0.7537705 ],neutral,-0.17060699
Ripple vows to respond to SEC ‘attack’ amid exchange delistings of XRP. Ripple issued a statement on Tuesday urging market participants to hear its side of the story amid the ongoing SEC saga.,[0.6988427  0.02735742 0.27379984],positive,0.6714853
How low can XRP go? Watch these price levels next. XRP price hit new monthly lows after Coinbase revealed it will delist the token in January.,[0.01503502 0.9578201  0.02714478],negative,-0.9427851
"Bitcoin price rally cools down as Polkadot gains 34% in first week of ‘altseason’. Bitcoin dominance is likely topping out, Michaël van de Poppe argues, as Bitcoin gives way to strong moves from some top 10 altcoins.",[0.44891152 0.5068339  0.04425455],negative,-0.057922393
"XRP price faces a rocky road to recovery ahead of SEC’s Ripple lawsuit. Though Ripple CEO Brad Garlinghouse is prepared to challenge the SEC over its lawsuit, the knock may be hard to come back from.",[0.03226899 0.91936356 0.04836748],negative,-0.88709456
SEC vs. Ripple: A predictable but undesirable development. Such regulation by enforcement does indeed run the risk of stifling important and valuable innovation in the crypto space.,[0.13779688 0.08469611 0.77750695],neutral,0.053100765
"2021 price outlook: BTC, ETH, XRP, LTC, BCH, LINK, ADA, BNB, DOT, XLM. Bitcoin price remains in a strong uptrend and this presents a rosy outlook for BTC and many altcoins.",[0.77995324 0.1617219  0.05832476],positive,0.61823136
XRP price just surged 40% in a surprise relief rally — Here’s why. XRP price rose 40% in a single day as liquidations across futures exchanges topped $73.5 million.,[0.9306795  0.02520901 0.04411158],positive,0.9054705
3 reasons why XRP price can continue to fall after a 63% crash in four days. XRP price dropped to as low as $0.2138 on Binance as three key factors pushed the cryptocurrency down.,[0.00901346 0.9793758  0.01161075],negative,-0.9703623
"MoneyGram distances itself from Ripple, says it doesn't utilize RippleNet. MoneyGram sheds light on the nature of its partnership with Ripple.",[0.03052598 0.04007904 0.929395  ],neutral,-0.009553058
Bitwise dumps XRP investment amid SEC lawsuit against Ripple. The Bitwise 10 Crypto Index Fund has liquidated its XRP holdings.,[0.01392714 0.952068   0.03400496],negative,-0.9381408
XRP price falls 24% in 24 hours as exchanges begin delisting. Several exchanges have already halted XRP trading after the SEC's lawsuit against Ripple was revealed.,[0.00962964 0.9750531  0.01531731],negative,-0.9654234
Ripple CEO Garlinghouse responds to SEC complaint against XRP. Ripple CEO assures shareholders and the industry that the company will win the case brought by the the United States SEC.,[0.6143712  0.02283968 0.36278915],positive,0.5915315
Don't expect Coin Center to stick up for XRP in the face of the SEC. The D.C.-based think tank doesn’t view XRP in the same light as Bitcoin or Ethereum.,[0.10272998 0.02397547 0.87329453],neutral,0.078754514
XRP‌ ‌price plunges‌ ‌21%‌ ‌in‌ ‌two days as SEC targets Ripple — What’s‌ ‌next?‌ ‌. The XRP price correction is exacerbated by reports of a looming lawsuit against Ripple.,[0.01328262 0.9707901  0.01592735],negative,-0.9575075
