sentence,logit,prediction,sentiment_score
Morrisons book second consecutive quarter of sales growth,[0.38623992 0.5783046  0.03545555],negative,-0.19206467
IMI posts drop in first-quarter organic revenue; warns on full year,[0.00940316 0.97132677 0.01927009],negative,-0.9619236
"Glencore to refinance its short-term debt early, shares rise",[0.5466886  0.25218728 0.20112412],positive,0.29450133
EasyJet attracts more passengers in June but still lags Ryanair,[0.05725941 0.9230725  0.01966816],negative,-0.86581314
Barclays 'bad bank' chief to step down,[0.01957107 0.7155485  0.2648804 ],negative,-0.69597745
Bilfinger Industrial Services win Â£100m BP contract extension,[0.88137126 0.02049334 0.09813542],positive,0.86087793
Bilfinger Industrial Services win Â£100m BP contract extension,[0.88137126 0.02049334 0.09813542],positive,0.86087793
Barclays share price subdued as bank faces fresh forex probe,[0.07928243 0.8232652  0.09745241],negative,-0.7439828
Centrica prepared for takeover approach - chairman,[0.03003073 0.03161341 0.9383559 ],neutral,-0.001582671
Jim Armitage: Spare no tears as Glencore's bosses are paying such a small price,[0.07571509 0.20892589 0.7153591 ],neutral,-0.13321081
"Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder",[0.8682578  0.07248472 0.05925745],positive,0.7957731
Kingfisher set to open another 200 Screwfix stores,[0.17884924 0.00866222 0.81248856],neutral,0.17018701
Diageo sales disappoint as currency and comparatives leave bitter taste,[0.01878349 0.9660333  0.01518322],negative,-0.94724977
Smith & Nephew recalls hip-replacement components,[0.04625071 0.4714962  0.48225313],neutral,-0.4252455
Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers,[0.01153036 0.9488587  0.03961099],negative,-0.93732834
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,[0.01614061 0.8943978  0.08946159],negative,-0.87825716
Here's my 10-point plan to make Tesco great again,[0.22226447 0.00993573 0.76779985],neutral,0.21232873
"Schroders posts FY profit beat, replaces CEO and chairman in board shake-up",[0.01486347 0.82223916 0.16289742],negative,-0.80737567
BP Seeks to Get Back Some Gulf Oil Spill Business Payouts,[0.8613923  0.04357685 0.09503087],positive,0.8178155
"Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?",[0.04604046 0.04620285 0.90775675],neutral,-0.00016238913
"UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs",[0.01635366 0.96474797 0.01889842],negative,-0.9483943
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,[0.10661425 0.04022407 0.8531617 ],neutral,0.06639017
"L&G still paying price for dividend cut during crisis, chief says",[0.5866418  0.14323556 0.27012268],positive,0.44340622
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,[0.10661425 0.04022407 0.8531617 ],neutral,0.06639017
"Whitbread eyes savings, price rises to offset wage rises",[0.31056175 0.02178278 0.66765547],neutral,0.28877896
Britain's FTSE lifted by solid Kingfisher,[0.4525368  0.05230609 0.49515703],neutral,0.4002307
Novo Nordisk and AstraZeneca seek tonic from key drug trials,[0.88876796 0.01140783 0.09982426],positive,0.8773601
Kingfisher takeover of Mr Bricolage could hit a brick wall,[0.0210325  0.79294276 0.18602467],negative,-0.77191025
BP wins right to appeal some Gulf spill damages claims,[0.8708998  0.08229515 0.04680504],positive,0.7886046
Dixons Carphone profit boost on strong sales,[0.9180805  0.05236923 0.02955021],positive,0.8657113
UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100,[0.03189239 0.02544683 0.94266075],neutral,0.006445557
Johnson Matthey profit lifted by metals unit sale,[0.897034   0.06340086 0.03956507],positive,0.8336331
"Barclays, Credit Suisse strike record deals with SEC, NY over dark pools",[0.767431   0.06582344 0.16674554],positive,0.7016076
UPDATE 1-Shire takes Q2 earnings pain for long-term gain,[0.3865062  0.54994684 0.06354699],negative,-0.16344064
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,[0.25079802 0.0095289  0.7396731 ],neutral,0.24126911
Standard Chartered considering move from UK,[0.04232682 0.03869786 0.9189753 ],neutral,0.003628958
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,[0.5155036  0.01011257 0.47438392],positive,0.505391
US cancels Arctic offshore lease sale after Shell drops interest,[0.01964978 0.8289538  0.15139644],negative,-0.809304
Shire CEO steps up drive to get Baxalta board talking,[0.21169764 0.01352333 0.77477896],neutral,0.19817431
UPDATE 1-Oil major BP freezes pay in 2015 to cut costs,[0.01480418 0.9588141  0.02638169],negative,-0.9440099
Brazil Vale says will appeal ruling to block assets for dam burst,[0.05341131 0.6574263  0.28916246],negative,-0.604015
"BHP Billiton posts big loss, slashes dividend",[0.01057695 0.9636067  0.02581626],negative,-0.95302975
Reaching New Depths: Glencore's $5bn Loss,[0.13556983 0.05541975 0.80901045],neutral,0.080150075
UPDATE 2-EasyJet sees better first half on lower fuel bill,[0.9406448  0.03939189 0.01996337],positive,0.9012529
Britain's FTSE advances as Royal Mail rises,[0.32740593 0.19111383 0.48148024],neutral,0.1362921
CompaniesTesco sheds Harris & Hoole coffee shops,[0.04081171 0.02870415 0.9304842 ],neutral,0.012107566
News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,[0.4997626  0.06384602 0.4363914 ],positive,0.43591657
Fitch: Citi's 1Q'15 Reports Much Improved Results,[0.9529035  0.02225603 0.02484044],positive,0.9306475
Landlord Hammerson's NAV rises on increased leasing activity,[0.84518117 0.12579955 0.02901932],positive,0.71938163
CompaniesMetro Bank raises Â£400m ahead of London listing,[0.09445702 0.04281655 0.8627264 ],neutral,0.051640473
New Morrisons duo get former boss's support to diffuse investor tension,[0.73297405 0.00907313 0.2579529 ],positive,0.7239009
WPP Q1 Revenue Rises Over 8% - Quick Facts,[0.9499664  0.02179882 0.02823475],positive,0.9281675
Barclays raises 603 million pounds from African business share sale,[0.693219   0.01207774 0.29470325],positive,0.68114126
REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,[0.23594595 0.02043525 0.74361885],neutral,0.21551071
Dividends Unleashed At Royal Bank of Scotland Group plc,[0.02164781 0.04969966 0.92865247],neutral,-0.028051846
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",[0.04364132 0.0290899  0.92726886],neutral,0.0145514235
"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",[0.16206574 0.00989954 0.82803476],neutral,0.1521662
RBS and Barclays shares temporarily suspended amid heavily losses,[0.01038634 0.90912753 0.08048611],negative,-0.8987412
BP sees Q1 earnings slide as low oil prices take their toll,[0.00866689 0.9691273  0.02220581],negative,-0.9604604
Johnson Matthey revs up on clean air drive,[0.85106117 0.01804176 0.13089709],positive,0.83301944
Tesco boss urges rethink on minimum wage and business rates,[0.10050173 0.15527932 0.74421895],neutral,-0.054777592
Is It Worth Investing In Tesco PLC And Prudential plc Now?,[0.06428485 0.01258629 0.9231288 ],neutral,0.051698565
RBS will reportedly appoint Howard Davies as its next chairman,[0.04476155 0.01908226 0.93615615],neutral,0.025679281
UPDATE 1-Seattle flotilla protests Shell's Arctic drilling plans,[0.0149448 0.9423549 0.0427002],negative,-0.9274101
Petrofac books further Â£30m cost for Shetland gas terminal delays,[0.19994855 0.04722703 0.7528244 ],neutral,0.15272152
G4S suspends workers at UK youth centre over allegations of unnecessary force,[0.01195126 0.9491637  0.03888511],negative,-0.9372124
TalkTalk hires BAE Systems to investigate cyber attack,[0.09770557 0.03329546 0.868999  ],neutral,0.06441011
Osborne extends Lloyds sell-off plan,[0.04865139 0.26857483 0.68277377],neutral,-0.21992345
