sentence,logit,prediction,sentiment_score
"Altcoins and stocks move higher after Bitcoin price rally to $40,000",[0.7508393  0.16505176 0.08410898],positive,0.58578753
XRP price soars 55% to 'crucial' level as Bitcoin notches new high at $38.5K,[0.849414   0.09775912 0.05282684],positive,0.75165486
Blockchain.com follows other exchanges in delisting XRP,[0.0216563  0.03512491 0.9432188 ],neutral,-0.013468601
Ripple co-founder Jed McCaleb sold $400 million worth of XRP in 2020,[0.03511804 0.00653827 0.95834374],neutral,0.028579764
XRP whales are sinking fast,[0.1004765  0.3698925  0.52963096],neutral,-0.269416
Grayscale dumps XRP: Here's where it's putting the cash,[0.0349088  0.14790028 0.81719095],neutral,-0.11299148
XLM price gains 30% in a day as positive sentiment shifts from XRP to Stellar,[0.7934911  0.17508546 0.0314234 ],positive,0.6184057
XRP enthusiasts seek to force White House’s hand on SEC suit,[0.05507654 0.6527356  0.29218787],negative,-0.59765905
US exchanges are suspending or delisting XRP left and right,[0.02465106 0.52178264 0.45356628],negative,-0.4971316
Top 10 crypto and blockchain stories of 2020,[0.07115962 0.02186772 0.90697265],neutral,0.0492919
"Bitcoin, stablecoins and DeFi: 2020’s top-performing crypto assets",[0.63902694 0.03439774 0.3265753 ],positive,0.6046292
SEC lawsuit against Ripple set for virtual pretrial conference in February,[0.03687499 0.7648057  0.19831938],negative,-0.72793067
Ripple vows to respond to SEC ‘attack’ amid exchange delistings of XRP,[0.39423642 0.06469874 0.54106486],neutral,0.3295377
How low can XRP go? Watch these price levels next,[0.02450882 0.01816497 0.9573262 ],neutral,0.006343851
Bitcoin price rally cools down as Polkadot gains 34% in first week of ‘altseason’,[0.28252852 0.6695368  0.04793468],negative,-0.3870083
XRP price faces a rocky road to recovery ahead of SEC’s Ripple lawsuit,[0.03697155 0.9246766  0.0383518 ],negative,-0.887705
SEC vs. Ripple: A predictable but undesirable development,[0.0624906  0.08065426 0.8568551 ],neutral,-0.018163659
"2021 price outlook: BTC, ETH, XRP, LTC, BCH, LINK, ADA, BNB, DOT, XLM",[0.04101205 0.00743564 0.9515523 ],neutral,0.03357641
XRP price just surged 40% in a surprise relief rally — Here’s why,[0.80430895 0.04190359 0.15378745],positive,0.76240534
3 reasons why XRP price can continue to fall after a 63% crash in four days,[0.03443867 0.9308536  0.03470773],negative,-0.89641494
"MoneyGram distances itself from Ripple, says it doesn't utilize RippleNet",[0.03178345 0.16956677 0.7986497 ],neutral,-0.13778332
Bitwise dumps XRP investment amid SEC lawsuit against Ripple,[0.01868633 0.93217653 0.0491372 ],negative,-0.9134902
XRP price falls 24% in 24 hours as exchanges begin delisting,[0.01270693 0.9739019  0.01339108],negative,-0.961195
Ripple CEO Garlinghouse responds to SEC complaint against XRP,[0.0621485  0.40262312 0.5352284 ],neutral,-0.3404746
Don't expect Coin Center to stick up for XRP in the face of the SEC,[0.41991922 0.01648215 0.56359863],neutral,0.40343708
XRP‌ ‌price plunges‌ ‌21%‌ ‌in‌ ‌two days as SEC targets Ripple — What’s‌ ‌next?‌ ‌,[0.02541471 0.9120701  0.06251518],negative,-0.8866554
SEC set to sue Ripple with XRP in the crosshairs,[0.05525003 0.54222965 0.4025204 ],negative,-0.4869796
XRP price still stagnant despite incoming Flare Network airdrop,[0.03796225 0.91254824 0.04948951],negative,-0.874586
XRP price drops 13% since Flare Network airdrop — But the bottom may be close,[0.01654621 0.9588394  0.02461437],negative,-0.9422932
XRP price action imminent? A closer look at the market’s #3 crypto,[0.09507789 0.03581648 0.8691057 ],neutral,0.059261408
"Why XRP, DeFi tokens crashed the most vs. BTC as Bitcoin price corrects",[0.04187566 0.93606913 0.02205515],negative,-0.8941935
XRP price: Will the Flare Network airdrop trigger a rally to $1.00?,[0.48624718 0.0923586  0.42139426],positive,0.3938886
Ripple has sold $15M of its stock in MoneyGram,[0.02863944 0.01744677 0.95391375],neutral,0.011192666
Ripple CTO says community could force the company to burn 48 billion XRP,[0.02267631 0.88356364 0.0937601 ],negative,-0.86088735
"95% of Ripple’s customers are not from the US, CEO Garlinghouse says",[0.02172823 0.01699173 0.96128   ],neutral,0.004736498
"Ripple’s XRP sees explosive 1,151% trading volume spike in November",[0.9375538  0.02239363 0.04005264],positive,0.9151602
"XRP price now eyeing $1.00 after key support level holds, BTC price soars",[0.076846   0.8027328  0.12042124],negative,-0.7258868
Garlinghouse: Ripple would still thrive even if XRP were declared a security,[0.82948995 0.00945361 0.16105641],positive,0.82003635
"Price analysis 11/25: BTC, ETH, XRP, BCH, LINK, LTC, ADA, DOT, BNB, XLM",[0.02337372 0.01230208 0.9643242 ],neutral,0.011071644
"Bitcoin price, altcoins and the Dow set record highs as bulls run the market",[0.17467293 0.14685349 0.6784736 ],neutral,0.02781944
These 5 altcoins are beating every major cryptocurrency this week,[0.8702204  0.02856238 0.10121718],positive,0.84165806
Bitcoin price now eyeing $20K after XRP shocked the crypto market,[0.03366021 0.87397176 0.09236815],negative,-0.8403115
"XRP price spikes to $0.90, crashes in seconds as Coinbase goes down",[0.02601187 0.9063892  0.067599  ],negative,-0.8803773
XRP price rallies 91% in a month due to 3 fundamental factors,[0.07719751 0.8595076  0.06329487],negative,-0.7823101
XRP shot up 20% today… on old news?,[0.9382896  0.0324827  0.02922771],positive,0.9058069
Ripple seeks director to engage with central banks on digital currency,[0.16041441 0.00515886 0.83442676],neutral,0.15525556
XRP price soars 50% in one week to new yearly high — Watch these levels next,[0.68479043 0.05853266 0.25667688],positive,0.6262578
Ripple’s Brad Garlinghouse wants Bitcoin to succeed after all,[0.34460688 0.01582657 0.6395666 ],neutral,0.3287803
Ripple files for yet another new trademark in the US,[0.05250425 0.09087612 0.85661966],neutral,-0.03837188
The Bitcoin price has only been higher than now for 12 days in its history,[0.23871095 0.07710341 0.6841856 ],neutral,0.16160755
"SEC should declare XRP a security, says Peter Brandt",[0.09834274 0.00660618 0.8950511 ],neutral,0.09173656
Ledger owners lose 1.1 million XRP to scam site,[0.01272487 0.96553224 0.02174286],negative,-0.95280737
"Price analysis 11/2: BTC, ETH, XRP, BCH, LINK, BNB, LTC, DOT, BSV, ADA",[0.02380214 0.01914406 0.9570538 ],neutral,0.004658079
Ripple CTO tries to offer answers for lack of adoption,[0.09475303 0.1856227  0.7196242 ],neutral,-0.09086968
Bitcoin breaks above $12.3K after PayPal says Venmo will become a BTC wallet,[0.6028896  0.15651588 0.24059463],positive,0.4463737
Ripple donates $10M to Mercy Corps during annual Swell conference,[0.26402482 0.01968447 0.7162907 ],neutral,0.24434035
