sentence,logit,prediction,sentiment_score
"Altcoins and stocks move higher after Bitcoin price rally to $40,000",[0.9037968  0.04390578 0.05229752],positive,0.859891
XRP price soars 55% to 'crucial' level as Bitcoin notches new high at $38.5K,[0.9215993  0.0359467  0.04245399],positive,0.88565266
Blockchain.com follows other exchanges in delisting XRP,[0.01831004 0.06055618 0.9211338 ],neutral,-0.04224614
Ripple co-founder Jed McCaleb sold $400 million worth of XRP in 2020,[0.06573139 0.01231656 0.9219521 ],neutral,0.05341483
XRP whales are sinking fast,[0.0983837  0.12202077 0.7795955 ],neutral,-0.023637071
Grayscale dumps XRP: Here's where it's putting the cash,[0.03884194 0.02913798 0.9320201 ],neutral,0.009703962
XLM price gains 30% in a day as positive sentiment shifts from XRP to Stellar,[0.9313631  0.03407527 0.03456159],positive,0.89728785
XRP enthusiasts seek to force White House’s hand on SEC suit,[0.03737018 0.38031918 0.5823107 ],neutral,-0.342949
US exchanges are suspending or delisting XRP left and right,[0.01493172 0.64633125 0.33873698],negative,-0.6313995
Top 10 crypto and blockchain stories of 2020,[0.05117621 0.02475976 0.92406404],neutral,0.026416454
"Bitcoin, stablecoins and DeFi: 2020’s top-performing crypto assets",[0.45912546 0.01819878 0.52267575],neutral,0.44092667
SEC lawsuit against Ripple set for virtual pretrial conference in February,[0.05280166 0.25976938 0.68742895],neutral,-0.20696771
Ripple vows to respond to SEC ‘attack’ amid exchange delistings of XRP,[0.58478427 0.03973309 0.37548265],positive,0.54505116
How low can XRP go? Watch these price levels next,[0.04456937 0.01655698 0.93887365],neutral,0.028012391
Bitcoin price rally cools down as Polkadot gains 34% in first week of ‘altseason’,[0.14815743 0.817513   0.03432959],negative,-0.6693556
XRP price faces a rocky road to recovery ahead of SEC’s Ripple lawsuit,[0.08305799 0.8831771  0.0337649 ],negative,-0.8001191
SEC vs. Ripple: A predictable but undesirable development,[0.11076282 0.02115716 0.86808   ],neutral,0.08960566
"2021 price outlook: BTC, ETH, XRP, LTC, BCH, LINK, ADA, BNB, DOT, XLM",[0.03588702 0.01775973 0.94635326],neutral,0.018127292
XRP price just surged 40% in a surprise relief rally — Here’s why,[0.4956434  0.02187472 0.48248193],positive,0.47376868
3 reasons why XRP price can continue to fall after a 63% crash in four days,[0.03088001 0.89752215 0.07159793],negative,-0.8666421
"MoneyGram distances itself from Ripple, says it doesn't utilize RippleNet",[0.02554153 0.08702877 0.8874297 ],neutral,-0.061487235
Bitwise dumps XRP investment amid SEC lawsuit against Ripple,[0.01579281 0.86812484 0.11608239],negative,-0.85233206
XRP price falls 24% in 24 hours as exchanges begin delisting,[0.00980696 0.96864074 0.02155227],negative,-0.95883375
Ripple CEO Garlinghouse responds to SEC complaint against XRP,[0.03901782 0.45008528 0.5108969 ],neutral,-0.41106746
Don't expect Coin Center to stick up for XRP in the face of the SEC,[0.696899   0.01107326 0.29202777],positive,0.68582577
XRP‌ ‌price plunges‌ ‌21%‌ ‌in‌ ‌two days as SEC targets Ripple — What’s‌ ‌next?‌ ‌,[0.01487879 0.87420297 0.11091823],negative,-0.85932416
SEC set to sue Ripple with XRP in the crosshairs,[0.03014354 0.48018968 0.4896668 ],neutral,-0.45004615
XRP price still stagnant despite incoming Flare Network airdrop,[0.07137986 0.8330668  0.09555338],negative,-0.761687
XRP price drops 13% since Flare Network airdrop — But the bottom may be close,[0.01602406 0.95619667 0.02777939],negative,-0.9401726
XRP price action imminent? A closer look at the market’s #3 crypto,[0.05890048 0.0209005  0.92019904],neutral,0.03799998
"Why XRP, DeFi tokens crashed the most vs. BTC as Bitcoin price corrects",[0.4221889  0.5246222  0.05318886],negative,-0.102433294
XRP price: Will the Flare Network airdrop trigger a rally to $1.00?,[0.4521784  0.03671626 0.51110536],neutral,0.41546214
Ripple has sold $15M of its stock in MoneyGram,[0.02186191 0.05531161 0.92282647],neutral,-0.033449702
Ripple CTO says community could force the company to burn 48 billion XRP,[0.01236347 0.8624683  0.12516819],negative,-0.8501048
