sentence,logit,prediction,sentiment_score
Primark racks up a happy Christmas after strong sales,[0.69749606 0.1596137  0.14289023],positive,0.5378823
Royal Dutch Shell profit rises; dividend up 4%,[0.8909499  0.0764576  0.03259248],positive,0.8144923
Tesco share price jumps as Q3 sales top estimates,[0.3454637  0.58093435 0.07360195],negative,-0.23547065
Persimmon share price climbs on 23% rise in full-year revenue,[0.9144409  0.0434894  0.04206971],positive,0.8709515
Reed Elsevier share price slides on underwhelming full-year results,[0.01882799 0.9598758  0.02129613],negative,-0.94104785
Slump in Weir leads FTSE down from record high,[0.01639635 0.95682114 0.02678255],negative,-0.9404248
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,[0.8706994  0.03619991 0.09310067],positive,0.8344995
Meggitt share price tumbles as profit falls in 'challenging year',[0.00989133 0.97652787 0.01358075],negative,-0.96663654
ARM Royalties Accelerate as Smartphone Market Regains Strength,[0.9228475  0.02291817 0.05423436],positive,0.89992934
HSBC Hit by Fresh Details of Tax Evasion Claims,[0.13068712 0.66461015 0.2047027 ],negative,-0.53392303
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",[0.93783396 0.03374606 0.02841998],positive,0.9040879
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,[0.01340045 0.960697   0.02590258],negative,-0.94729656
AstraZeneca's patent on asthma drug invalidated by US court,[0.01735696 0.945865   0.03677808],negative,-0.92850804
Whitbread share price climbs on Q4 sales growth,[0.6446039  0.25828934 0.09710673],positive,0.38631457
Auto Trader share price surges as company floats on LSE,[0.08250812 0.8598478  0.05764409],negative,-0.7773397
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,[0.560136   0.05683105 0.3830329 ],positive,0.50330496
Sainsbury's says to outperform rivals in tough market,[0.8543727  0.08443102 0.06119632],positive,0.7699417
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,[0.88551736 0.04826158 0.06622105],positive,0.8372558
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",[0.6387384  0.0535716  0.30768996],positive,0.5851668
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",[0.8130427  0.11756699 0.06939033],positive,0.6954757
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,[0.01887662 0.9286025  0.05252081],negative,-0.9097259
