sentence,logit,prediction,sentiment_score
Royal Mail chairman Donald Brydon set to step down,[0.06273357 0.33950534 0.59776103],neutral,-0.27677178
Stakes High for AstraZeneca Heart Drug Facing Tough Competition,[0.26284328 0.10659873 0.630558  ],neutral,0.15624455
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,[0.01010713 0.9746139  0.01527905],negative,-0.96450675
Insight hires Aviva's David Hillier for multi-asset team,[0.0671878  0.01022722 0.922585  ],neutral,0.056960575
Primark racks up a happy Christmas after strong sales,[0.697496   0.1596137  0.14289024],positive,0.5378823
UPDATE 1-Pearson expects to grow this year after solid end to 2014,[0.9461177  0.01589239 0.03798992],positive,0.9302253
Tesco sells Blinkbox and broadband service to TalkTalk,[0.03506154 0.00503435 0.95990413],neutral,0.030027185
Unilever profit rises despite sales slump in China,[0.8005524  0.17046957 0.02897803],positive,0.63008285
Tesco leads leap in FTSE 100; Marks & Spencer drops,[0.80121887 0.07374106 0.12504   ],positive,0.7274778
Royal Dutch Shell profit rises; dividend up 4%,[0.8909499  0.0764576  0.03259249],positive,0.8144923
Morning Agenda: Shire's Deal for NPS,[0.21913402 0.00976274 0.7711032 ],neutral,0.20937128
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,[0.8127668  0.01997438 0.1672588 ],positive,0.79279244
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,[0.84063    0.01636339 0.14300655],positive,0.8242666
Passengers rise at EasyJet and Aer Lingus,[0.18290383 0.09914934 0.71794677],neutral,0.08375449
Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,[0.06482077 0.1293173  0.80586195],neutral,-0.064496525
"FDA approves NPS drug, in move validating Shire takeover deal",[0.8785114  0.02270316 0.09878533],positive,0.85580826
Ocwen Reaches Settlement With California Regulator,[0.46296152 0.14166512 0.3953734 ],positive,0.3212964
Morrisons faces festive sales test,[0.39576194 0.07466102 0.5295771 ],neutral,0.32110092
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,[0.01377983 0.9694127  0.01680744],negative,-0.95563287
Shire to buy NPS for $5.2 billion to boost rare disease drugs,[0.5842016  0.0169133  0.39888513],positive,0.5672883
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,[0.7384626  0.00702758 0.2545098 ],positive,0.73143506
FDA approves Shire's Vyvanse for binge-eating disorder,[0.77234095 0.02201997 0.20563912],positive,0.750321
Companies Thetrainline.com announces arrival of London IPO,[0.03866459 0.02160897 0.9397264 ],neutral,0.017055629
Breakingviews: IAG can pay more for Aer Lingus,[0.09255306 0.00512159 0.90232533],neutral,0.08743147
Tesco share price jumps as Q3 sales top estimates,[0.3454637  0.58093435 0.07360195],negative,-0.23547065
CRH's concrete bid for Holcim Lafarge assets,[0.21531297 0.02636617 0.7583208 ],neutral,0.18894681
Persimmon share price climbs on 23% rise in full-year revenue,[0.9144409  0.0434894  0.04206971],positive,0.8709515
Ruling sets lower limit on potential fine for BP,[0.1056555  0.3894492  0.50489527],neutral,-0.28379372
Reed Elsevier share price slides on underwhelming full-year results,[0.01882799 0.9598758  0.02129613],negative,-0.94104785
UPDATE 1-Meggitt reiterates annual outlook after tough 2014,[0.16577074 0.02095503 0.8132742 ],neutral,0.14481571
Slump in Weir leads FTSE down from record high,[0.01639635 0.95682114 0.02678255],negative,-0.9404248
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,[0.91296387 0.05156443 0.03547161],positive,0.8613994
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,[0.8706994  0.03619991 0.09310067],positive,0.8344995
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,[0.19385548 0.01017534 0.7959692 ],neutral,0.18368013
Meggitt share price tumbles as profit falls in 'challenging year',[0.00989133 0.97652787 0.01358074],negative,-0.96663654
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,[0.16159396 0.03513261 0.8032734 ],neutral,0.12646134
ARM Royalties Accelerate as Smartphone Market Regains Strength,[0.9228475  0.02291817 0.05423436],positive,0.89992934
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,[0.05472351 0.03891305 0.9063635 ],neutral,0.01581046
BG Group appoints new CEO one month early,[0.08717779 0.10506887 0.8077533 ],neutral,-0.01789108
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",[0.02842844 0.8442687  0.12730296],negative,-0.81584024
U.S. Debt Lures Schroders as ECB Depresses Rates,[0.05171276 0.8435921  0.1046952 ],negative,-0.79187936
Tullow Oil Suspends Dividend Amid Oil Price Fall,[0.01584424 0.95385456 0.03030125],negative,-0.93801033
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",[0.02726495 0.81294745 0.15978761],negative,-0.7856825
Standard Chartered lags on capital worries,[0.02695565 0.8966602  0.07638406],negative,-0.86970454
Standard Life share price: Insurer buys advice firm Pearson Jones,[0.04964079 0.01449595 0.9358632 ],neutral,0.035144832
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,[0.12026448 0.1042596  0.77547586],neutral,0.016004883
MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,[0.78596336 0.01671013 0.1973265 ],positive,0.76925325
RBS will reportedly appoint Howard Davies as its next chairman,[0.02756572 0.02043946 0.95199484],neutral,0.007126255
HSBC Hit by Fresh Details of Tax Evasion Claims,[0.13068715 0.6646102  0.2047027 ],negative,-0.53392303
Relief for Lewis as Tesco sees sales grow for first time in a year,[0.9261337  0.03797443 0.0358918 ],positive,0.8881593
Morrisons finance chief to fill gap as CEO leaves early,[0.03117306 0.8493267  0.11950029],negative,-0.8181537
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",[0.93783396 0.03374606 0.02841998],positive,0.9040879
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,[0.82157373 0.10536087 0.07306545],positive,0.71621287
Tesco shareholders back ITV head for chairman,[0.10905208 0.56331235 0.32763556],negative,-0.4542603
"Buffett's Berkshire builds Deere stake, dumps Exxon",[0.03377429 0.60438275 0.36184296],negative,-0.57060844
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,[0.01340045 0.960697   0.02590258],negative,-0.94729656
AstraZeneca's patent on asthma drug invalidated by US court,[0.01735696 0.945865   0.03677808],negative,-0.92850804
Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,[0.08029903 0.8306782  0.08902282],negative,-0.7503792
Whitbread share price climbs on Q4 sales growth,[0.6446039  0.25828934 0.09710673],positive,0.38631457
Warren Buffett defends Berkshire Hathaway's conglomerate structure,[0.07414243 0.16406372 0.76179385],neutral,-0.089921296
G4S sees profits rise but UK contract problems remain,[0.01776293 0.9619006  0.02033656],negative,-0.9441377
Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,[0.5652812  0.36382338 0.07089542],positive,0.20145783
Auto Trader share price surges as company floats on LSE,[0.08250809 0.8598478  0.05764408],negative,-0.7773397
New Credit Suisse boss faces stiff challenge in Asia,[0.03994043 0.91641206 0.0436475 ],negative,-0.87647164
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",[0.7369934  0.10000629 0.16300036],positive,0.6369871
Is It Worth Investing In Tesco PLC And Prudential plc Now?,[0.04928302 0.00956194 0.941155  ],neutral,0.03972108
